Stizostedion vitreum 	 Rainy Lake, Minnesota 	 . 	 index 	 .  
Clupea harengus 	 Bothnian Bay 	 Tonnes 	 Thousands 	 Tonnes 
Salvelinus fontinalis 	 Montmorency County, Michigan 	 Number of eggs 	 Numbers 	 .  
Salvelinus fontinalis 	 Par Value Lake, Sierra Nevada 	 Numbers 	 Numbers 	 .  
Salvelinus namaycush 	 Lake Opeongo, Ontario 	 Eggs 	 Numbers  	 .  
Solea vulgaris 	 ICES IIIa 	 Tonnes 	 Thousands 	 Tonnes 
Sebastes marinus 	 Iceland 	 Thousand tonnes 	 Numbers 	 Thousand tonnes 
Scomber japonicus 	 South Africa 1.6 	 . 	 Millions 	 . 
Oncorhynchus nerka  	 Weaver Creek, B.C.  	 Millions of Fry  	 Fish  	 . 
Platichthys flesus 	 Baltic Areas 24 and 25 	 Tonnes 	 Thousands 	 Tonnes 
Mallotus villosus 	 Iceland 	 Thousand tonnes 	 Billions 	 Thousand tonnes 
Coregonus hoyi 	 Lake Michigan 	 Millions of eggs 	 Thousands of fish 	 .  
Oncorhynchus gorbuscha 	 Auke Creek, Alaska  	 Fish  	 Fry 	 . 
Oncorhynchus gorbuscha  	 Iknouk/Ishkeenickh, B.C.  	 Fish 	 Fish 	 Fish 
Perca fluviatilis 	 Windermere 	 . 	 Year-class strength 	 .  
Oncorhynchus nerka 	 Ugashik River, Alaska 	 Millions of fish 	 Millions of fish 	 Millions of fish  
Leuciscus leuciscus 	 River Eden, southeast England 	 . 	 Relative year-class strength 	 .  
Scomber japonicus 	 Pacific Coast of Japan 	 Thousand tonnes 	 Index 	 . 
Oncorhynchus gorbuscha  	 Kodiak Archipelago, Alaska 	 Thousands of Fish 	 Fry per metre square 	 . 
Gadus morhua 	 North East Arctic 	 Thousand tonnes 	 Thousands 	 Tonnes 
Micropterus dolomieui 	 Baie du Dore, Lake Huron,  	 . 	 Numbers 	 . 
Melanogrammus aeglefinus 	 Irish Sea 	 Tonnes 	 Thousands 	 Tonnes 
Engraulisi japonicus  	 Yellow Sea  	 Million tonnes 	 Billions  	 Million tonnes 
Oncorhynchus nerka 	 Igushik River, Alaska 	 Millions of fish 	 Millions of fish 	 Millions of fish  
Sprattus sprattus 	 Baltic Areas 22-32 	 Tonnes 	 Thousands 	 Tonnes 
Clupea harengus 	 Hokkaido 	 Thousand Kilograms 	 Thousand Kilograms 	 .   
Stizostedion vitreum 	 Lake Vermilion East, Minnesota 	 . 	 index 	 .  
Pagrus auratus 	 New Zeeland, SNA 8 	 Tonnes 	 Millions 	 Tonnes 
Chrysophrys major 	 Yellow Sea 	 Numbers 	 Numbers 	 .  
Notothenia rossii 	 Kerguelen Islands, Antarctic Ocean 	 Thousand Tonnes 	 . 	 Thousand Tonnes 
Clupea harengus 	 Hokkaido 	 Thousand Kilograms 	 Thousand Kilograms 	 .   
Trachurus trachurus 	 Southern ICES  	 Tonnes 	 Thousands 	 Tonnes 
Esox lucius 	 Lake of the Woods, Minnesota 	 . 	 index 	 . 
Oncorhynchus gorbuscha 	 Fraser River, B.C. 	 Millions of fish 	 Millions of fish 	 .  
Clupea harengus 	 Newfoundland(CD) 	 . 	 .  	 .  
Anoplopoma fimbria 	 West Coast USA 	 Tonnes of females 	 Thousands 	 . 
Oncorhynchus nerka  	 Pinkut Creek, B.C. 	 Numbers of Spawners 	 Millions of fry 	 . 
Oncorhynchus nerka 	 Chilko River, B.C. 	 Fish 	 Fish 	 Fish 
Mallotus villosus 	 Barents Sea 	 Thousand tonnes 	 Billions 	 Thousand tonnes 
Merluccius gayi 	 Chile - South Central zone 	 Thousands of Tonnes 	 Millions 	 Thousands 
Engraulis capensis 	 South Africa 	 Thousand tonnes 	 Billions 	 . 
Placopecten magellanicus 	 NAFO 5Ze 	 . 	 . 	 . 
Oncorhynchus nerka 	 Red River, Alaska 	 Thousands of fish 	 Thousands of fish 	 .  
Clupea harengus 	 Baltic areas 25-29, 32 plus Gulf of Riga 	 Tonnes 	 Thousands 	 Tonnes 
Oncorhynchus nerka  	 Kvichak River, Alaska 	 Thousands of fish 	 Thousands 	 . 
Sardinops sagax 	 South Africa 	 Tonnes 	 Millions 	 .  
Pseudopentaceros wheeleri 	 Southeast Hancock Seamount, Hawaii 	 Tonnes 	 Tonnes 	 .  
Pandalus borealis 	 Northern Gulf of St. Lawrence 	 Kg/hr 	 . 	 . 
Oncorhynchus nerka  	 Adams Complex, B.C. 	 Fish 	 Fish 	 Fish 
Salmo salar 	 Rocky River, Nfld, CA 	 Number of large salmon 	 . 	 .  
Gadus morhua 	 Kattegat 	 Tonnes 	 Thousands 	 Tonnes 
Oncorhynchus gorbuscha 	 Desire Lake, Cook Inlet, Alaska 	 Numbers of fish 	 Numbers of fish 	 . 
Oncorhynchus tshawytscha  	 Chickamin River, Alaska-B.C. 	 Numbers 	 Numbers 	 .  
Paralithodes camtschatica 	 Bristol Bay, Alaska 	 Tonnes  	 Thousands 	 .  
Gadus morhua 	 ICES VIa 	 Thousand tonnes 	 Millions 	 Thousand tonnes 
Oncorhynchus gorbuscha 	 Central B.C. (Areas 6-8) 	 Numbers of fish 	 Numbers 	 Numbers of fish 
Sardinops sagax 	 Chile- Northern zone 	 SPA 	 Thousand tonnes 	 3 
Clupea harengus 	 Baltic area 30 	 Tonnes 	 Thousands 	 Tonnes 
Micropterus salmoide 	 Bull Shoals Reservoir, Arkansas 	 . 	 Number per acre 	 . 
Plecoglossus altivelis 	 Lake Biwa, Japan 	 Hundreds of millions 	 Hundreds of millions 	 .  
Rutilus rutilus 	 River Stour, Dorset, England 	 . 	 Relative year-class strength 	 .  
Salvelinus namaycush 	 Gull Island, Lake Superior 	 Females per 1000 m gillnet lift 	 Numbers per ha 	 .  
Oncorhynchus keta 	 North Coast, B.C. 	 Thousands fish 	 Thousands 	 .  
Alosa aestivalis 	 Saint John River 	 Thousands 	 Thousands 	 .  
Oncorhynchus nerka 	 Babine Lake, B.C.  	 Millions of Eggs 	 Millions of Smolt 	 . 
Salmo salar 	 Girnock Burn, Scotland 	 Thousands of eggs 	 Numbers of parr and smolt 	 .  
Gadus morhua 	 Iceland 	 Thousand tonnes 	 Millions 	 Thousand tonnes 
Clupea harengus 	 Revilla Channel (Kah Shakes), Alaska 	 Trillions of Eggs 	 Millions 	 . 
Oncorhynchus keta 	 West Coast Vancouver Island, B.C. 	 Thousands fish 	 Thousands 	 .  
Patagonotothen guntheri 	 South Georgia, Antarctic Ocean 	 Thousand Tonnes 	 Millions 	 Thousand Tonnes 
