assessid	 pdfcheck	 pdffilename 
DFO-NFLD-AMPL23K-1960-2004-PREFONTAINE 	 (pdf file MISSING!) 	 NAFO-AMPL23K-2003.pdf 	 http://www.marinebiodiversity.ca/RAMlegacy/ramlegacy-bug-reporting/8
DFO-NFLD-COD3Ps-1959-2004-PREFONTAINE 	 (pdf file present) 	 DFO-COD3Ps-2004.pdf 	 http://www.marinebiodiversity.ca/RAMlegacy/ramlegacy-bug-reporting/155
DFO-QUE-COD3Pn4RS-1964-2007-PREFONTAINE 	 (pdf file MISSING!) 	 DFO-COD3Pn4Rs-2007.pdf 	 http://www.marinebiodiversity.ca/RAMlegacy/ramlegacy-bug-reporting/154
NAFO-SC-COD3NO-1953-2007-PREFONTAINE 	 (pdf file MISSING!) 	 NAFO-COD3NO-2007.pdf 	 http://www.marinebiodiversity.ca/RAMlegacy/ramlegacy-bug-reporting/153
NAFO-SC-GHAL23KLMNO-1960-2006-PREFONTAINE 	 (pdf file MISSING!) 	 NAFO-GHAL23KLMNO-2007.pdf 	 http://www.marinebiodiversity.ca/RAMlegacy/ramlegacy-bug-reporting/164
NAFO-SC-REDFISHSPP3LN-1959-2007-PREFONTAINE 	 (pdf file MISSING!) 	 NAFO-RED3LN-2007.pdf 	 http://www.marinebiodiversity.ca/RAMlegacy/ramlegacy-bug-reporting/174
WGBFAS-CODKAT-1970-2006-MINTO 	 (pdf file present) 	 ICES-WGBFAS-2007.pdf 	 
WGNSSK-CODNS-1962-2006-MINTO 	 (pdf file present) 	 ICES-WGNSSK-2007.pdf 	 
WGBFAS-SOLEIIIa-1982-2007-JENNINGS 	 (pdf file present) 	 ICES-WGBFAS-2007.pdf 	 http://www.marinebiodiversity.ca/RAMlegacy/ramlegacy-bug-reporting/80
WGNSSK-HADNS-IIIa-1963-2006-MINTO 	 (pdf file present) 	 ICES-WGNSSK-2007.pdf 	 
HAWG-HERRNS-1960-2007-MINTO 	 (pdf file present) 	 ICES-HAWG-2007.pdf 	 
WGNSSK-NPOUTNS-1983-2007-MINTO 	 (pdf file present) 	 ICES-WGNSSK-2007.pdf 	 
WGNSSK-POLLNS-VI-IIIa-1964-2006-MINTO 	 (pdf file present) 	 ICES-WGNSSK-2007.pdf 	 
WGNSSK-SEELNS-1983-2007-MINTO 	 (pdf file present) 	 ICES-WGNSSK-2007.pdf 	 
WGNSSK-WHITNS-VIId-IIIa-1979-2006-MINTO 	 (pdf file present) 	 ICES-WGNSSK-2007.pdf 	 
RIDEM-LOBSTERRI-1959-2007-COLLIE 	 (pdf file MISSING!) 	 NONE 	 http://www.marinebiodiversity.ca/RAMlegacy/ramlegacy-bug-reporting/312
NEFSC-AMPL5YZ-1960-2008-OBRIEN 	 (pdf file MISSING!) 	  .pdf 	 http://www.marinebiodiversity.ca/RAMlegacy/ramlegacy-bug-reporting/112
DFO-COD5Zjm-1978-2003-PREFONTAINE 	 (pdf file MISSING!) 	 NAFO-COD5Zjm-2003.pdf 	 http://www.marinebiodiversity.ca/RAMlegacy/ramlegacy-bug-reporting/163
NEFSC-CODGB-1960-2008-BAUM 	 (pdf file MISSING!) 	 NMFS-GB-Gadusmorhua-2008.pdf 	 
NEFSC-CODGOM-1893-2008-BAUM 	 (pdf file MISSING!) 	 NMFS-GOM-Gadusmorhua-2008.pdf 	 http://www.marinebiodiversity.ca/RAMlegacy/ramlegacy-bug-reporting/110
DFO-HAD4X5Y-1960-2003-PREFONTAINE 	 (pdf file MISSING!) 	 NAFO-HAD4X5Y-2003.pdf 	 http://www.marinebiodiversity.ca/RAMlegacy/ramlegacy-bug-reporting/166
DFO-HAD5Zejm-1969-2003-PREFONTAINE 	 (pdf file MISSING!) 	 NAFO-HAD5Zejm-2003.pdf 	 http://www.marinebiodiversity.ca/RAMlegacy/ramlegacy-bug-reporting/105
