assessid,scientificname,commonname1,stocklong,lme_name,tsyear,tsid,tsvalue
ICCAT-ATBTUNAEATL-1955-2007-WORM,Thunnus thynnus,Atlantic bluefin tuna,Bluefin tuna Eastern Atlantic,Atlantic High Seas,1971,TB-MT,338015.99
ICCAT-ATBTUNAEATL-1955-2007-WORM,Thunnus thynnus,Atlantic bluefin tuna,Bluefin tuna Eastern Atlantic,Atlantic High Seas,1972,TB-MT,348403.64
ICCAT-ATBTUNAEATL-1955-2007-WORM,Thunnus thynnus,Atlantic bluefin tuna,Bluefin tuna Eastern Atlantic,Atlantic High Seas,1973,TB-MT,353617.66
ICCAT-ATBTUNAEATL-1955-2007-WORM,Thunnus thynnus,Atlantic bluefin tuna,Bluefin tuna Eastern Atlantic,Atlantic High Seas,1974,TB-MT,374650.16
ICCAT-ATBTUNAEATL-1955-2007-WORM,Thunnus thynnus,Atlantic bluefin tuna,Bluefin tuna Eastern Atlantic,Atlantic High Seas,1975,TB-MT,369379.47
ICCAT-ATBTUNAEATL-1955-2007-WORM,Thunnus thynnus,Atlantic bluefin tuna,Bluefin tuna Eastern Atlantic,Atlantic High Seas,1976,TB-MT,371942.6
ICCAT-ATBTUNAEATL-1955-2007-WORM,Thunnus thynnus,Atlantic bluefin tuna,Bluefin tuna Eastern Atlantic,Atlantic High Seas,1977,TB-MT,353405.08
ICCAT-ATBTUNAEATL-1955-2007-WORM,Thunnus thynnus,Atlantic bluefin tuna,Bluefin tuna Eastern Atlantic,Atlantic High Seas,1978,TB-MT,337385.65
ICCAT-ATBTUNAEATL-1955-2007-WORM,Thunnus thynnus,Atlantic bluefin tuna,Bluefin tuna Eastern Atlantic,Atlantic High Seas,1979,TB-MT,319423.56
ICCAT-ATBTUNAEATL-1955-2007-WORM,Thunnus thynnus,Atlantic bluefin tuna,Bluefin tuna Eastern Atlantic,Atlantic High Seas,1980,TB-MT,309796.39
ICCAT-ATBTUNAEATL-1955-2007-WORM,Thunnus thynnus,Atlantic bluefin tuna,Bluefin tuna Eastern Atlantic,Atlantic High Seas,1981,TB-MT,292748.84
ICCAT-ATBTUNAEATL-1955-2007-WORM,Thunnus thynnus,Atlantic bluefin tuna,Bluefin tuna Eastern Atlantic,Atlantic High Seas,1982,TB-MT,303466.67
ICCAT-ATBTUNAEATL-1955-2007-WORM,Thunnus thynnus,Atlantic bluefin tuna,Bluefin tuna Eastern Atlantic,Atlantic High Seas,1983,TB-MT,286052.95
ICCAT-ATBTUNAEATL-1955-2007-WORM,Thunnus thynnus,Atlantic bluefin tuna,Bluefin tuna Eastern Atlantic,Atlantic High Seas,1984,TB-MT,283613.26
