"","mgmt","stock","scientificname","assessmethod","timespan","currentyear","Bratio","bfromassessment","Uratio","ufromassessment"
"313","ICES","Norway pout North Sea","\textit{Trisopterus esmarkii}","VPA","1983-2007",2006,0.900289499717783,"no",0.328633588669728,"no"
"108","IMARPE","Peruvian anchoveta North-Central Peru","\textit{Engraulis ringens}","VPA","1963-2004",NA,NA,NA,NA,NA
"115","IOTC","Bigeye tuna Indian Ocean","\textit{Thunnus obesus}","Biomass dynamics model","1957-2006",2004,1.22857142857143,"yes",0.966666666666667,"yes"
"116","IPHC","Pacific halibut North Pacific","\textit{Hippoglossus stenolepis}","Statistical catch at age model","1988-2009",NA,NA,NA,NA,NA
"48","Iran","Anchovy kilka Caspian Sea","\textit{Clupeonella engrauliformis}","Biomass dynamics model","1991-2007",NA,NA,NA,NA,NA
"210","MFish","Black oreo West end of Chatham Rise","\textit{Allocyttus niger}","Integrated Analysis","1973-2007",2007,0.990502060013855,"yes",0.824965395894428,"yes"
"177","MFish","Australian salmon New Zealand","\textit{Arripis trutta}","Integrated Analysis","1975-2006",2006,1.64485345012919,"yes",0.328125,"yes"
"215","MFish","New Zealand snapper New Zealand Area 8","\textit{Chrysophrys auratus}","Integrated Analysis","1931-2005",2005,0.353080364818751,"yes",2.49681040086674,"yes"
"225","MFish","New Zealand ling New Zealand Areas LIN 3 and 4","\textit{Genypterus blacodes}","Integrated Analysis","1972-2007",2007,3.06859446986501,"yes",0.0879935028248588,"yes"
"226","MFish","New Zealand ling New Zealand Areas LIN 5 and 6","\textit{Genypterus blacodes}","Integrated Analysis","1972-2007",2007,3.95890277162857,"yes",0.099139872611465,"yes"
"227","MFish","New Zealand ling New Zealand Area LIN 6b","\textit{Genypterus blacodes}","Integrated Analysis","1980-2006",2006,2.18689536250862,"yes",0.112956883116883,"yes"
"228","MFish","New Zealand ling New Zealand Area LIN 72","\textit{Genypterus blacodes}","Integrated Analysis","1972-2007",2007,2.48647635812674,"yes",0.323065772357724,"yes"
"229","MFish","New Zealand ling New Zealand Area LIN 7WC - WCSI","\textit{Genypterus blacodes}","Integrated Analysis","1972-2008",2008,2.21385731123217,"yes",0.133847425742574,"yes"
"233","MFish","New Zealand abalone species New Zealand Area PAU 5A","\textit{Haliotis iris}","Integrated Analysis","1964-2006",2006,0.720986660762088,"no",2.82550395483353,"no"
"234","MFish","New Zealand abalone species New Zealand Area PAU 5B","\textit{Haliotis iris}","Integrated Analysis","1963-2007",2007,1.01709029731011,"no",0.593023248933244,"no"
"235","MFish","New Zealand abalone species New Zealand Area PAU 5D","\textit{Haliotis iris}","Integrated Analysis","1964-2006",2006,0.441615411396078,"no",2.102737941243,"no"
"236","MFish","New Zealand abalone species New Zealand Area PAU 7","\textit{Haliotis iris}","Integrated Analysis","1964-2008",2008,0.873932791130533,"no",0.943132247338632,"no"
"178","MFish","Orange roughy New Zealand Mid East Coast","\textit{Hoplostethus atlanticus}","Integrated Analysis","1981-2004",2004,1.20446470577493,"yes",0.353021420454545,"yes"
"217","MFish","Red rock lobster New Zealand area CRA1","\textit{Jasus edwardsii}","Unknown","1945-2001",2001,1.13850310134499,"no",0.880726997674661,"no"
"218","MFish","Red rock lobster New Zealand area CRA2","\textit{Jasus edwardsii}","Unknown","1945-2001",2001,0.525341248416312,"no",2.11648554826416,"no"
"219","MFish","Red rock lobster New Zealand area CRA3","\textit{Jasus edwardsii}","Unknown","1945-2007",NA,NA,NA,NA,NA
"220","MFish","Red rock lobster New Zealand area CRA4","\textit{Jasus edwardsii}","Unknown","1945-2005",2005,0.668400655288767,"no",1.32511427170923,"no"
"221","MFish","Red rock lobster New Zealand area CRA5","\textit{Jasus edwardsii}","Unknown","1945-2002",2002,0.593494088777713,"no",1.68401574285901,"no"
"222","MFish","Red rock lobster New Zealand area CRA7","\textit{Jasus edwardsii}","Unknown","1976-2005",2005,0.72640924787574,"no",0.430804241833537,"no"
"223","MFish","Red rock lobster New Zealand area CRA8","\textit{Jasus edwardsii}","Unknown","1976-2005",2005,0.688990219046679,"no",0.488712310901693,"no"
"213","MFish","Hoki Eastern New Zealand","\textit{Macruronus novaezelandiae}","Integrated Analysis","1972-2007",2007,1.11108941524079,"no",0.325694554744171,"no"
"214","MFish","Hoki Western New Zealand","\textit{Macruronus novaezelandiae}","Integrated Analysis","1972-2007",2007,0.505046193319735,"no",0.569034520428477,"no"
"231","MFish","Southern hake Chatham Rise","\textit{Merluccius australis}","Integrated Analysis","1975-2006",2006,1.76839557949905,"yes",0.115569482758621,"yes"
