assessid,commonname1,scientificname,family,tsyear,total,total_unit,ssb,ssb_unit
NWFSC-SABLEFPCOAST-1900-2007-BRANCH,Sablefish,Anoplopoma fimbria,Anoplopomatidae,1958,412285,MT,215788,MT
AFSC-SABLEFEBSAIGA-1956-2008-MELNYCHUK,Sablefish,Anoplopoma fimbria,Anoplopomatidae,1959,,MT,,MT
NWFSC-SABLEFPCOAST-1900-2007-BRANCH,Sablefish,Anoplopoma fimbria,Anoplopomatidae,1959,411844,MT,215484,MT
AFSC-SABLEFEBSAIGA-1956-2008-MELNYCHUK,Sablefish,Anoplopoma fimbria,Anoplopomatidae,1960,372000,MT,146000,MT
NWFSC-SABLEFPCOAST-1900-2007-BRANCH,Sablefish,Anoplopoma fimbria,Anoplopomatidae,1960,410576,MT,214826,MT
AFSC-SABLEFEBSAIGA-1956-2008-MELNYCHUK,Sablefish,Anoplopoma fimbria,Anoplopomatidae,1961,447000,MT,151000,MT
NWFSC-SABLEFPCOAST-1900-2007-BRANCH,Sablefish,Anoplopoma fimbria,Anoplopomatidae,1961,408514,MT,213786,MT
AFSC-SABLEFEBSAIGA-1956-2008-MELNYCHUK,Sablefish,Anoplopoma fimbria,Anoplopomatidae,1962,430000,MT,159000,MT
NWFSC-SABLEFPCOAST-1900-2007-BRANCH,Sablefish,Anoplopoma fimbria,Anoplopomatidae,1962,407389,MT,213160,MT
AFSC-SABLEFEBSAIGA-1956-2008-MELNYCHUK,Sablefish,Anoplopoma fimbria,Anoplopomatidae,1963,395000,MT,164000,MT
NWFSC-SABLEFPCOAST-1900-2007-BRANCH,Sablefish,Anoplopoma fimbria,Anoplopomatidae,1963,405735,MT,212325,MT
AFSC-SABLEFEBSAIGA-1956-2008-MELNYCHUK,Sablefish,Anoplopoma fimbria,Anoplopomatidae,1964,498000,MT,175000,MT
NWFSC-SABLEFPCOAST-1900-2007-BRANCH,Sablefish,Anoplopoma fimbria,Anoplopomatidae,1964,405075,MT,211899,MT
AFSC-SABLEFEBSAIGA-1956-2008-MELNYCHUK,Sablefish,Anoplopoma fimbria,Anoplopomatidae,1965,492000,MT,188000,MT
NWFSC-SABLEFPCOAST-1900-2007-BRANCH,Sablefish,Anoplopoma fimbria,Anoplopomatidae,1965,404082,MT,211327,MT
AFSC-SABLEFEBSAIGA-1956-2008-MELNYCHUK,Sablefish,Anoplopoma fimbria,Anoplopomatidae,1966,478000,MT,203000,MT
NWFSC-SABLEFPCOAST-1900-2007-BRANCH,Sablefish,Anoplopoma fimbria,Anoplopomatidae,1966,403131,MT,210803,MT
AFSC-SABLEFEBSAIGA-1956-2008-MELNYCHUK,Sablefish,Anoplopoma fimbria,Anoplopomatidae,1967,519000,MT,213000,MT
NWFSC-SABLEFPCOAST-1900-2007-BRANCH,Sablefish,Anoplopoma fimbria,Anoplopomatidae,1967,403115,MT,210687,MT
AFSC-SABLEFEBSAIGA-1956-2008-MELNYCHUK,Sablefish,Anoplopoma fimbria,Anoplopomatidae,1968,579000,MT,221000,MT
NWFSC-SABLEFPCOAST-1900-2007-BRANCH,Sablefish,Anoplopoma fimbria,Anoplopomatidae,1968,400423,MT,209315,MT
AFSC-SABLEFEBSAIGA-1956-2008-MELNYCHUK,Sablefish,Anoplopoma fimbria,Anoplopomatidae,1969,546000,MT,223000,MT
NWFSC-SABLEFPCOAST-1900-2007-BRANCH,Sablefish,Anoplopoma fimbria,Anoplopomatidae,1969,399201,MT,208608,MT
AFSC-SABLEFEBSAIGA-1956-2008-MELNYCHUK,Sablefish,Anoplopoma fimbria,Anoplopomatidae,1970,526000,MT,223000,MT
NWFSC-SABLEFPCOAST-1900-2007-BRANCH,Sablefish,Anoplopoma fimbria,Anoplopomatidae,1970,395322,MT,206644,MT
AFSC-SABLEFEBSAIGA-1956-2008-MELNYCHUK,Sablefish,Anoplopoma fimbria,Anoplopomatidae,1971,471000,MT,216000,MT
NWFSC-SABLEFPCOAST-1900-2007-BRANCH,Sablefish,Anoplopoma fimbria,Anoplopomatidae,1971,393012,MT,205435,MT
AFSC-SABLEFEBSAIGA-1956-2008-MELNYCHUK,Sablefish,Anoplopoma fimbria,Anoplopomatidae,1972,404000,MT,200000,MT
NWFSC-SABLEFPCOAST-1900-2007-BRANCH,Sablefish,Anoplopoma fimbria,Anoplopomatidae,1972,390426,MT,204089,MT
AFSC-SABLEFEBSAIGA-1956-2008-MELNYCHUK,Sablefish,Anoplopoma fimbria,Anoplopomatidae,1973,328000,MT,173000,MT
NWFSC-SABLEFPCOAST-1900-2007-BRANCH,Sablefish,Anoplopoma fimbria,Anoplopomatidae,1973,384789,MT,201302,MT
AFSC-SABLEFEBSAIGA-1956-2008-MELNYCHUK,Sablefish,Anoplopoma fimbria,Anoplopomatidae,1974,279000,MT,150000,MT
