"","assessid","stockid","common_name","lme","year","ssb","ssb_unit","recruitment","recruitment_unit"
"146","AFSC-ARFLOUNDGA-1958-2010-STANTON","ARFLOUNDGA","Arrowtooth flounder","Gulf of Alaska",1970,227123,"MT",312700,"E03"
"147","AFSC-ARFLOUNDGA-1958-2010-STANTON","ARFLOUNDGA","Arrowtooth flounder","Gulf of Alaska",1971,228318,"MT",415850,"E03"
"148","AFSC-ARFLOUNDGA-1958-2010-STANTON","ARFLOUNDGA","Arrowtooth flounder","Gulf of Alaska",1972,229843,"MT",524250,"E03"
"149","AFSC-ARFLOUNDGA-1958-2010-STANTON","ARFLOUNDGA","Arrowtooth flounder","Gulf of Alaska",1973,229018,"MT",323350,"E03"
"150","AFSC-ARFLOUNDGA-1958-2010-STANTON","ARFLOUNDGA","Arrowtooth flounder","Gulf of Alaska",1974,225229,"MT",405260,"E03"
"151","AFSC-ARFLOUNDGA-1958-2010-STANTON","ARFLOUNDGA","Arrowtooth flounder","Gulf of Alaska",1975,228639,"MT",332050,"E03"
"152","AFSC-ARFLOUNDGA-1958-2010-STANTON","ARFLOUNDGA","Arrowtooth flounder","Gulf of Alaska",1976,240734,"MT",320770,"E03"
"153","AFSC-ARFLOUNDGA-1958-2010-STANTON","ARFLOUNDGA","Arrowtooth flounder","Gulf of Alaska",1977,264331,"MT",362440,"E03"
"154","AFSC-ARFLOUNDGA-1958-2010-STANTON","ARFLOUNDGA","Arrowtooth flounder","Gulf of Alaska",1978,297844,"MT",509680,"E03"
"155","AFSC-ARFLOUNDGA-1958-2010-STANTON","ARFLOUNDGA","Arrowtooth flounder","Gulf of Alaska",1979,344913,"MT",513550,"E03"
"156","AFSC-ARFLOUNDGA-1958-2010-STANTON","ARFLOUNDGA","Arrowtooth flounder","Gulf of Alaska",1980,397150,"MT",319810,"E03"
"157","AFSC-ARFLOUNDGA-1958-2010-STANTON","ARFLOUNDGA","Arrowtooth flounder","Gulf of Alaska",1981,443824,"MT",347410,"E03"
"158","AFSC-ARFLOUNDGA-1958-2010-STANTON","ARFLOUNDGA","Arrowtooth flounder","Gulf of Alaska",1982,483368,"MT",504000,"E03"
"159","AFSC-ARFLOUNDGA-1958-2010-STANTON","ARFLOUNDGA","Arrowtooth flounder","Gulf of Alaska",1983,517769,"MT",555310,"E03"
"160","AFSC-ARFLOUNDGA-1958-2010-STANTON","ARFLOUNDGA","Arrowtooth flounder","Gulf of Alaska",1984,549071,"MT",658150,"E03"
"161","AFSC-ARFLOUNDGA-1958-2010-STANTON","ARFLOUNDGA","Arrowtooth flounder","Gulf of Alaska",1985,585680,"MT",586920,"E03"
"162","AFSC-ARFLOUNDGA-1958-2010-STANTON","ARFLOUNDGA","Arrowtooth flounder","Gulf of Alaska",1986,629556,"MT",533850,"E03"
"163","AFSC-ARFLOUNDGA-1958-2010-STANTON","ARFLOUNDGA","Arrowtooth flounder","Gulf of Alaska",1987,671017,"MT",582950,"E03"
"164","AFSC-ARFLOUNDGA-1958-2010-STANTON","ARFLOUNDGA","Arrowtooth flounder","Gulf of Alaska",1988,693255,"MT",477820,"E03"
"165","AFSC-ARFLOUNDGA-1958-2010-STANTON","ARFLOUNDGA","Arrowtooth flounder","Gulf of Alaska",1989,715626,"MT",450170,"E03"
"166","AFSC-ARFLOUNDGA-1958-2010-STANTON","ARFLOUNDGA","Arrowtooth flounder","Gulf of Alaska",1990,746026,"MT",518320,"E03"
"167","AFSC-ARFLOUNDGA-1958-2010-STANTON","ARFLOUNDGA","Arrowtooth flounder","Gulf of Alaska",1991,783277,"MT",432800,"E03"
"168","AFSC-ARFLOUNDGA-1958-2010-STANTON","ARFLOUNDGA","Arrowtooth flounder","Gulf of Alaska",1992,825959,"MT",398760,"E03"
"169","AFSC-ARFLOUNDGA-1958-2010-STANTON","ARFLOUNDGA","Arrowtooth flounder","Gulf of Alaska",1993,864642,"MT",396720,"E03"
"170","AFSC-ARFLOUNDGA-1958-2010-STANTON","ARFLOUNDGA","Arrowtooth flounder","Gulf of Alaska",1994,895095,"MT",450980,"E03"
