"assessid","stockid","stocklong","scientificname","lme_name","bioid","biovalue","type.x","msy","type.y"
"SPRFMO-CHTRACCH-1950-2010-RICARD","CHTRACCH","Chilean jack mackerel Chilean EEZ and offshore","Trachurus murphyi","Humboldt Current",NA,NA,NA,2352525.52372443,"Schaefer"
"SWFSC-CALSCORPSCAL-1990-2005-STANTON","CALSCORPSCAL","California scorpionfish Southern California","Scorpaena guttata","California Current","MSY-MT","127","assessment",NA,NA
"SWFSC-CMACKPCOAST-1929-2008-PINSKY","CMACKPCOAST","Pacific chub mackerel Pacific Coast","Scomber japonicus","California Current","MSY-MT","23048.2","assessment",NA,NA
"SWFSC-CMACKPCOAST-1929-2008-PINSKY","CMACKPCOAST","Pacific chub mackerel Pacific Coast","Scomber japonicus","California Current","MSY-MT","51772","assessment",NA,NA
"SWFSC-DSOLEPCOAST-1910-2005-STANTON","DSOLEPCOAST","Dover sole Pacific Coast","Microstomus pacificus","California Current","MSY-MT","16505","assessment",11830.0714892321,"Schaefer"
"SWFSC-GOPHERSPCOAST-1965-2005-STANTON","GOPHERSPCOAST","Gopher rockfish Southern Pacific Coast","Sebastes carnatus","California Current","MSY-MT","101","assessment",NA,NA
"SWFSC-SARDPCOAST-1981-2007-PINSKY","SARDPCOAST","Pacific sardine Pacific Coast","Sardinops sagax","California Current",NA,NA,NA,266732.083227237,"Schaefer"
"SWFSC-SBELLYROCKPCOAST-1950-2005-BRANCH","SBELLYROCKPCOAST","Shortbelly rockfish Pacific Coast","Sebastes jordani","California Current",NA,NA,NA,NA,NA
"SWFSC-STFLOUNNPCOAST-1970-2005-STANTON","STFLOUNNPCOAST","Starry flounder Northern Pacific Coast","Platichthys stellatus","California Current","MSY-MT","818","assessment",463.728847026276,"Schaefer"
"SWFSC-STFLOUNSPCOAST-1970-2005-STANTON","STFLOUNSPCOAST","Starry flounder Southern Pacific Coast","Platichthys stellatus","California Current","MSY-MT","396","assessment",330.101439615735,"Schaefer"
"TAFI-TASGIANTCRABTAS-1990-2007-JENSEN","TASGIANTCRABTAS","Tasmanian giant crab Tasmania","Pseudocarcinus gigas","Southeast Australian Shelf",NA,NA,NA,NA,NA
"VNIRO-WPOLLWBS-1994-2004-JENSEN","WPOLLWBS","Walleye pollock Western Bering Sea","Theragra chalcogramma","West Bering Sea",NA,NA,NA,NA,NA
"WGBFAS-CODBA2224-1969-2007-JENNINGS","CODBA2224","Atlantic cod Baltic Areas 22 and 24","Gadus morhua","Baltic Sea",NA,NA,NA,43695.4824801602,"Schaefer"
"WGBFAS-CODBA2532-1964-2007-JENNINGS","CODBA2532","Atlantic cod Baltic Areas 25-32","Gadus morhua","Baltic Sea",NA,NA,NA,273211.090320455,"Schaefer"
"WGBFAS-CODKAT-1970-2006-MINTO","CODKAT","Atlantic cod Kattegat","Gadus morhua","North Sea",NA,NA,NA,14841.7583960231,"Schaefer"
"WGBFAS-HERR2532-1973-2006-JENNINGS","HERR2532","Herring ICES 25-32","Clupea harengus","Baltic Sea",NA,NA,NA,204433.905145213,"Schaefer"
"WGBFAS-HERR30-1972-2007-JENNINGS","HERR30","Herring ICES 30","Clupea harengus","Baltic Sea",NA,NA,NA,52260.7034726959,"Schaefer"
"WGBFAS-HERR31-1979-2006-JENNINGS","HERR31","Herring ICES 31","Clupea harengus","Baltic Sea",NA,NA,NA,6451.06169422552,"Schaefer"
"WGBFAS-HERRIsum-1983-2007-JENNINGS","HERRIsum","Herring Iceland (Summer spawners)","Clupea harengus","Iceland Shelf",NA,NA,NA,164554.976993438,"Schaefer"
"WGBFAS-HERRRIGA-1976-2007-JENNINGS","HERRRIGA","Herring ICES 28","Clupea harengus","Baltic Sea",NA,NA,NA,29584.3267977066,"Schaefer"
"WGBFAS-SOLEIIIa-1982-2007-JENNINGS","SOLEIIIa","common European sole ICES Kattegat and Skagerrak","Solea vulgaris","North Sea",NA,NA,NA,1090.83637772694,"Schaefer"
"WGBFAS-SPRAT22-32-1973-2007-JENNINGS","SPRAT22-32","Sprat ICES Baltic Areas 22-32","Sprattus sprattus","Baltic Sea",NA,NA,NA,246224.746132823,"Schaefer"
"WGHMM-FMEG8c9a-1986-2006-JENNINGS","FMEG8c9a","Fourspotted megrim ICES VIIIc-IXa","Lepidorhombus boscii","Iberian Coastal",NA,NA,NA,1534.2546928649,"Schaefer"
"WGHMM-HAKENRTN-1977-2007-JENNINGS","HAKENRTN","Hake Northeast Atlantic North","Merluccius merluccius","Celtic-Biscay Shelf",NA,NA,NA,54502.3991073054,"Schaefer"
"WGHMM-HAKESOTH-1982-2007-JENNINGS","HAKESOTH","Hake Northeast Atlantic South","Merluccius merluccius","Iberian Coastal",NA,NA,NA,NA,NA
"WGHMM-MEG8c9a-1985-2007-JENNINGS","MEG8c9a","Megrim ICES VIIIc-IXa","Lepidorhombus whiffiagonis","Iberian Coastal",NA,NA,NA,459.29835050429,"Schaefer"
"WGHMM-SOLEVIII-1982-2006-JENNINGS","SOLEVIII","common European sole Bay of Biscay","Solea vulgaris","Celtic-Biscay Shelf",NA,NA,NA,5899.36501779867,"Schaefer"
"WGMHSA-ANCHOBAYB-1986-2007-JENNINGS","ANCHOBAYB","Anchovy ICES VIII","Engraulis encrasicolus","Celtic-Biscay Shelf",NA,NA,NA,NA,NA
"WGMHSA-MACKNEICES-1972-2007-JENNINGS","MACKNEICES","Mackerel ICES Northeast Atlantic","Scomber scombrus","Celtic-Biscay Shelf",NA,NA,NA,660663.558102563,"Schaefer"
"WGMHSA-SARDPVIIIc-IXa-1978-2007-JENNINGS","SARDPVIIIc-IXa","European pilchard ICES VIIIc-IXa","Sardina pilchardus","Iberian Coastal",NA,NA,NA,NA,NA
"WGNPBW-BWHITNEA-1980-2007-JENNINGS","BWHITNEA","Whiting Northeast Atlantic","Micromesistius poutassou","Celtic-Biscay Shelf",NA,NA,NA,1765597.99794375,"Schaefer"
"WGNSDS-CODIS-1968-2006-MINTO","CODIS","Atlantic cod Irish Sea","Gadus morhua","Celtic-Biscay Shelf",NA,NA,NA,9924.87985308997,"Schaefer"
"WGNSDS-CODVIa-1977-2006-MINTO","CODVIa","Atlantic cod West of Scotland","Gadus morhua","Celtic-Biscay Shelf",NA,NA,NA,18661.166764147,"Schaefer"
"WGNSDS-HADIS-1972-2006-MINTO","HADIS","Haddock Irish Sea","Melanogrammus aeglefinus","Celtic-Biscay Shelf",NA,NA,NA,NA,NA
"WGNSDS-HADVIa-1977-2006-MINTO","HADVIa","Haddock West of Scotland","Melanogrammus aeglefinus","Celtic-Biscay Shelf",NA,NA,NA,25796.6521277624,"Schaefer"
"WGNSDS-PLAICIS-1962-2006-MINTO","PLAICIS","European Plaice Irish Sea","Pleuronectes platessa","Celtic-Biscay Shelf",NA,NA,NA,3811.58350543566,"Schaefer"
"WGNSDS-SOLEIS-1968-2006-MINTO","SOLEIS","common European sole Irish Sea","Solea vulgaris","Celtic-Biscay Shelf",NA,NA,NA,1343.05211408039,"Schaefer"
"WGNSDS-WHITVIa-1984-2007-MINTO","WHITVIa","Whiting ICES VIa","Merlangius merlangus","Celtic-Biscay Shelf",NA,NA,NA,NA,NA
"WGNSSK-CODNS-1962-2007-MINTO","CODNS","Atlantic cod North Sea","Gadus morhua","North Sea",NA,NA,NA,292435.672970676,"Schaefer"
"WGNSSK-HADNS-IIIa-1963-2006-MINTO","HADNS-IIIa","Haddock ICES IIIa and North Sea","Melanogrammus aeglefinus","North Sea",NA,NA,NA,348711.426157354,"Schaefer"
"WGNSSK-HADROCK-1990-2007-JENNINGS","HADROCK","Haddock Rockall Bank","Melanogrammus aeglefinus","Celtic-Biscay Shelf",NA,NA,NA,NA,NA
"WGNSSK-NPOUTNS-1983-2007-MINTO","NPOUTNS","Norway pout North Sea","Trisopterus esmarkii","North Sea",NA,NA,NA,157471.536455756,"Schaefer"
"WGNSSK-PLAIC7d-1979-2006-MINTO","PLAIC7d","European Plaice ICES VIId","Pleuronectes platessa","Celtic-Biscay Shelf",NA,NA,NA,NA,NA
"WGNSSK-PLAICIIIa-1976-2006-MINTO","PLAICIIIa","European Plaice ICES IIIa","Pleuronectes platessa","North Sea",NA,NA,NA,NA,NA
"WGNSSK-PLAICNS-1956-2006-MINTO","PLAICNS","European Plaice North Sea","Pleuronectes platessa","North Sea",NA,NA,NA,NA,NA
"WGNSSK-POLLNS-VI-IIIa-1964-2006-MINTO","POLLNS-VI-IIIa","Pollock ICES IIIa, VI and North Sea","Pollachius virens","North Sea",NA,NA,NA,226160.454046628,"Schaefer"
"WGNSSK-SEELNS-1983-2007-MINTO","SEELNS","Sandeel North Sea","Ammodytes marinus","North Sea",NA,NA,NA,947895.933099575,"Schaefer"
"WGNSSK-SOLENS-1956-2006-MINTO","SOLENS","common European sole North Sea","Solea vulgaris","North Sea",NA,NA,NA,NA,NA
"WGNSSK-SOLEVIId-1981-2006-MINTO","SOLEVIId","common European sole ICES VIId","Solea vulgaris","Celtic-Biscay Shelf",NA,NA,NA,NA,NA
"WGNSSK-WHITNS-VIId-IIIa-1979-2006-MINTO","WHITNS-VIId-IIIa","Whiting ICES IIIa, VIId and North Sea","Merlangius merlangus","North Sea",NA,NA,NA,95225.2103192328,"Schaefer"
"WGSSDS-HADVIIb-k-1993-2006-JENNINGS","HADVIIb-k","Haddock ICES VIIb-k","Melanogrammus aeglefinus","Celtic-Biscay Shelf",NA,NA,NA,NA,NA
"WGSSDS-PLAICCELT-1976-2006-JENNINGS","PLAICCELT","European Plaice ICES VIIf-g","Pleuronectes platessa","Celtic-Biscay Shelf",NA,NA,NA,1509.14719689808,"Schaefer"
"WGSSDS-PLAICECHW-1975-2006-JENNINGS","PLAICECHW","European Plaice ICES VIIe","Pleuronectes platessa","Celtic-Biscay Shelf",NA,NA,NA,1769.40745794951,"Schaefer"
"WGSSDS-SOLECS-1970-2006-JENNINGS","SOLECS","common European sole Celtic Sea","Solea vulgaris","Celtic-Biscay Shelf",NA,NA,NA,1103.89487457737,"Schaefer"
"WGSSDS-SOLEVIIe-1968-2006-JENNINGS","SOLEVIIe","common European sole Western English Channel","Solea vulgaris","Celtic-Biscay Shelf",NA,NA,NA,1076.96265335011,"Schaefer"
"WGSSDS-WHITVIIek-1982-2007-JENNINGS","WHITVIIek","Whiting ICES VIIe-k","Merlangius merlangus","Celtic-Biscay Shelf",NA,NA,NA,17176.5438083498,"Schaefer"
