                     assessid                     |                              stocklong                               | fpercentreduction 
 NZMFishSHELLFISHWG-PAUAPAU7-1964-2008-JENSEN     | New Zealand abalone species New Zealand Area PAU 7                   |  53.5087719298246
 SEFSC-GAGGM-1963-2004-JENSEN                     | Gag Gulf of Mexico                                                   |  41.4634146341463
 SEFSC-GAGSATLC-1962-2005-JENSEN                  | Gag Southern Atlantic coast                                          |                70
 SEFSC-GRAMBERSATLC-1946-2006-JENSEN              | Greater amberjack Southern Atlantic coast                            |   51.063829787234
 SEFSC-GTRIGGM-1981-2004-JENSEN                   | Gray triggerfish Gulf of Mexico                                      |  43.9393939393939
 SEFSC-MENATGM-1964-2004-GILROY                   | Gulf menhaden Gulf of Mexico                                         |  71.9220549158547
 SEFSC-RPORGYSATLC-1972-2005-JENSEN               | Red porgy Southern Atlantic coast                                    |  93.5734584627586
 SEFSC-RSNAPSATLC-1945-2006-JENSEN                | Red snapper Southern Atlantic coast                                  |  35.4126848888172
 SEFSC-SNOWGROUPSATLC-1961-2002-STANTON           | Snowy grouper Southern Atlantic coast                                |  54.8275862068965
 SEFSC-SPANMACKSATLC-1950-2008-JENSEN             | Spanish mackerel Southern Atlantic Coast                             |   71.264367816092
 SEFSC-TILESATLC-1961-2002-STANTON                | Tilefish Southern Atlantic coast                                     |  72.8564547206166
 SEFSC-VSNAPGM-1981-2004-JENSEN                   | Vermilion snapper Gulf of Mexico                                     |  32.3101777059774
 SEFSC-VSNAPSATLC-1946-2008-STANTON               | Vermilion snapper Southern Atlantic coast                            |  49.1775579170229
 SPC-ALBASPAC-1959-2007-JENSEN                    | Albacore tuna South Pacific Ocean                                    |                50
 SPC-BIGEYEWPO-1952-2007-JENSEN                   | Bigeye tuna Western Pacific Ocean                                    |  30.3268616367658
 SPC-YFINCWPAC-1952-2006-JENSEN                   | Yellowfin tuna Central Western Pacific                               |   38.079739625712
 SWFSC-CMACKPCOAST-1929-2008-PINSKY               | Pacific chub mackerel Pacific Coast                                  |  94.5819450732238
 WGBFAS-CODBA2224-1969-2007-JENNINGS              | Atlantic cod Baltic Areas 22 and 24                                  |   71.673274372268
 WGBFAS-CODBA2532-1964-2007-JENNINGS              | Atlantic cod Baltic Areas 25-32                                      |  32.8593194514982
 WGBFAS-CODKAT-1970-2006-MINTO                    | Atlantic cod Kattegat                                                |  55.4185303514377
 WGBFAS-HERR2532-1973-2006-JENNINGS               | Herring ICES 25-32                                                   |  73.9121021866205
 WGBFAS-HERR31-1979-2006-JENNINGS                 | Herring ICES 31                                                      |  58.4022468403807
 WGBFAS-SPRAT22-32-1973-2007-JENNINGS             | Sprat ICES Baltic Areas 22-32                                        |  64.5250623096095
 WGHMM-HAKENRTN-1977-2007-JENNINGS                | Hake Northeast Atlantic North                                        |  43.5294117647059
 WGHMM-HAKESOTH-1982-2007-JENNINGS                | Hake Northeast Atlantic South                                        |  49.1048593350384
 WGHMM-MEG8c9a-1985-2007-JENNINGS                 | Megrim ICES VIIIc-IXa                                                |  71.8085106382979
 WGMHSA-MACKNEICES-1972-2007-JENNINGS             | Mackerel ICES Northeast Atlantic                                     |  43.4296977660972
 WGNSDS-CODIS-1968-2006-MINTO                     | Atlantic cod Irish Sea                                               |  39.8642584698227
 WGNSDS-CODVIa-1977-2006-MINTO                    | Atlantic cod West of Scotland                                        |  9.05735976381274
 WGNSDS-PLAICIS-1962-2006-MINTO                   | European Plaice Irish Sea                                            |  40.5156537753223
 WGNSDS-SOLEIS-1968-2006-MINTO                    | common European sole Irish Sea                                       |  47.3473473473473
 WGNSSK-CODNS-1962-2007-MINTO                     | Atlantic cod North Sea                                               |  39.2478302796528
 WGNSSK-HADNS-IIIa-1963-2006-MINTO                | Haddock ICES IIIa and North Sea                                      |              47.5
 WGNSSK-HADROCK-1990-2007-JENNINGS                | Haddock Rockall Bank                                                 |  86.3351732455123
 WGNSSK-NPOUTNS-1983-2007-MINTO                   | Norway pout North Sea                                                |               100
 WGNSSK-PLAICIIIa-1976-2006-MINTO                 | European Plaice ICES IIIa                                            |  56.1497326203209
 WGNSSK-SEELNS-1983-2007-MINTO                    | Sandeel North Sea                                                    |   78.328173374613
 WGNSSK-SOLENS-1956-2006-MINTO                    | common European sole North Sea                                       |  45.7142857142857
 WGNSSK-WHITNS-VIId-IIIa-1979-2006-MINTO          | Whiting ICES IIIa, VIId and North Sea                                |                50
 WGSSDS-SOLECS-1970-2006-JENNINGS                 | common European sole Celtic Sea                                      |  50.3748125937031
(161 rows)
