"assessid","stocklong","daterecorded","dateloaded"
"NZMFishDEEPWATER-SMOOTHOREOWECR-1973-2004-JENSEN","Smooth oreo West end of Chatham Rise",2009-04-07,2010-07-19
"AFSC-GHALBSAI-1960-2009-STANTON","Greenland turbot Bering Sea and Aleutian Islands",2009-04-07,2010-02-12
"AFSC-ATKABSAI-1976-2009-STANTON","Atka mackerel Bering Sea and Aleutian Islands",2009-04-08,2010-02-10
"IOTC-BIGEYEIO-1957-2006-JENSEN","Bigeye tuna Indian Ocean",2009-04-08,2010-07-19
"ICCAT-YFINATL-1970-2006-JENSEN","Yellowfin tuna Atlantic",2009-04-10,2010-07-16
"ICCAT-SWORDNATL-1978-2007-JENSEN","Swordfish North Atlantic",2009-04-10,2010-07-18
"ICCAT-BIGEYEATL-1950-2005-JENSEN","Bigeye tuna Atlantic",2009-04-10,2010-07-16
"ICCAT-SWORDSATL-1970-2005-JENSEN","Swordfish South Atlantic",2009-04-10,2010-07-18
"ICCAT-SKJEATL-1950-2006-JENSEN","Skipjack tuna Eastern Atlantic",2009-04-11,2010-07-16
"ICCAT-SKJWATL-1952-2006-JENSEN","Skipjack tuna Western Atlantic",2009-04-11,2010-07-16
"AFSC-GKINGCRABAIWS-1989-2007-JENSEN","Golden king crab Aleutian Islands Western segment",2009-04-13,2010-07-28
"AFSC-BKINGCRABPI-1960-2008-JENSEN","Blue king crab Pribilof Islands",2009-04-13,2010-07-28
"AFSC-BKINGCRABSMI-1960-2008-JENSEN","Blue king crab Saint Matthews Island",2009-04-13,2010-07-28
"AFSC-GKINGCRABAIES-1990-2007-JENSEN","Golden king crab Aleutian Islands Eastern segment",2009-04-13,2010-07-28
"AFSC-SNOWCRABBS-1979-2008-JENSEN","Snow crab Bering Sea",2009-04-13,2010-07-28
"AFSC-RKCRABBB-1960-2008-JENSEN","Red king crab Bristol Bay",2009-04-13,2010-07-28
"AFSC-RKCRABPI-1981-2009-JENSEN","Red king crab Pribilof Islands",2009-04-13,2010-07-28
"AFSC-RKCRABNS-1976-2008-JENSEN","Red king crab Norton Sound",2009-04-13,2010-07-28
"AFSC-PERCHEBSAI-1974-2009-STANTON","Pacific Ocean perch Eastern Bering Sea and Aleutian Islands",2009-04-13,2009-05-20
"AFSC-WPOLLEBS-1963-2008-MELNYCHUK","Walleye pollock Eastern Bering Sea",2009-04-14,2010-03-16
"AFSC-TANNERCRABBSAI-1965-2008-JENSEN","Tanner crab Bering Sea and Aleutian Islands",2009-04-14,2010-07-28
"AFSC-PCODBSAI-1964-2008-MELNYCHUK","Pacific cod Bering Sea and Aleutian Islands",2009-04-14,2010-07-27
"AFSC-SABLEFEBSAIGA-1956-2008-MELNYCHUK","Sablefish Eastern Bering Sea / Aleutian Islands / Gulf of Alaska",2009-04-14,2010-07-21
"AFSC-YSOLEBSAI-1959-2008-MELNYCHUK","Yellowfin sole Bering Sea and Aleutian Islands",2009-04-14,2009-05-22
"AFSC-ALPLAICBSAI-1972-2008-MELNYCHUK","Alaska plaice Bering Sea and Aleutian Islands",2009-04-14,2010-05-10
"NEFSC-ATHAL5YZ-1800-2007-COL","Atlantic Halibut NAFO-5YZ",2009-04-15,2009-10-01
"NEFSC-ACADREDGOMGB-1913-2007-MILLER","Acadian redfish Gulf of Maine / Georges Bank",2009-04-16,2009-11-08
"AFSC-WPOLLGA-1964-2008-MELNYCHUK","Walleye pollock Gulf of Alaska",2009-04-16,2009-05-22
"AFSC-PCODGA-1964-2008-MELNYCHUK","Pacific cod Gulf of Alaska",2009-04-16,2010-07-27
"AFSC-WPOLLAI-1976-2008-MELNYCHUK","Walleye pollock Aleutian Islands",2009-04-16,2009-05-26
"AFSC-POPERCHGA-1959-2008-MELNYCHUK","Pacific ocean perch Gulf of Alaska",2009-04-17,2009-05-26
"AFSC-NROCKGA-1959-2008-MELNYCHUK","Northern rockfish Gulf of Alaska",2009-04-17,2009-05-22
"NEFSC-BUTTERGOMCHATT-1965-2005-OVERHOLTZ","Atlantic butterfish Gulf of Maine / Cape Hatteras",2009-04-17,2009-11-06
"AFSC-REXSOLEGA-1979-2008-STANTON","Rex sole Gulf of Alaska",2009-04-20,2010-07-27
"NEFSC-POLL5YZ-1963-2007-MAYO","Pollock NAFO-5YZ",2009-04-20,2009-11-06
"AFSC-FLSOLEGA-1978-2008-STANTON","Flathead sole Gulf of Alaska",2009-04-20,2009-11-05
"NEFSC-WINDOWSNEMATL-1975-2007-HENDRICKSON","Windowpane Southern New England-Mid Atlantic",2009-04-20,2009-10-07
"NEFSC-WINDOWGOMGB-1975-2007-HENDRICKSON","Windowpane flounder - Gulf of Maine / Georges Bank",2009-04-20,2009-10-05
"NEFSC-ILLEXNWATLC-1967-2005-HENDRICKSON","Northern shortfin squid Northwestern Atlantic Coast",2009-04-20,2009-05-26
"NEFSC-WHAKEGBGOM-1963-2007-SOSEBEE","White hake Georges Bank / Gulf of Maine",2009-04-20,2010-03-17
"NEFSC-WINFLOUN5Z-1982-2007-HENDRICKSON","Winter Flounder NAFO-5Z",2009-04-20,2011-03-02
"NEFSC-BSKAT5YZSNE-1963-2005-SOSEBEE","Barndoor skate Gulf of Marine / Georges Bank-Southern New England",2009-04-21,2009-12-11
"NEFSC-TSKAT5YZSNE-1963-2005-SOSEBEE","Thorny skate Gulf of Marine / Georges Bank-Southern New England",2009-04-21,2009-12-14
"NEFSC-CSKATMATLC-1975-2005-SOSEBEE","Clearnose skate Mid-Atlantic Coast",2009-04-21,2009-12-11
"AFSC-DUSROCKGA-1973-2008-MELNYCHUK","Dusky rockfish Gulf of Alaska",2009-04-21,2009-05-22
"NEFSC-WSKAT5YCHATT-1967-2005-SOSEBEE","Winter skate Gulf of Maine / Cape Hatteras",2009-04-21,2009-12-14
"AFSC-ARFLOUNDGA-1958-2010-STANTON","Arrowtooth flounder Gulf of Alaska",2009-04-21,2010-02-10
"NEFSC-SDOGATLC-1962-2006-SOSEBEE","Spiny dogfish Atlantic Coast",2009-04-21,2009-12-11
"NEFSC-SSKAT5YZSNE-1963-2005-SOSEBEE","Smooth skate Gulf of Marine / Georges Bank-Southern New England",2009-04-21,2009-12-14
"NEFSC-LSKAT5YCHATT-1968-2006-SOSEBEE","Little skate Gulf of Maine / Cape Hatteras",2009-04-21,2009-12-14
"NEFSC-RSKATMATLC-1967-2005-SOSEBEE","Rosette skate Mid-Atlantic Coast",2009-04-21,2009-12-14
"NEFSC-SCALLGB-1964-2006-HART","Sea scallop Georges Bank",2009-04-22,2009-11-08
"NEFSC-WINFLOUND5Y-1982-2008-NITSCHKE","Winter Flounder NAFO-5Y",2009-04-22,2009-05-26
"NEFSC-MONKGOMNGB-1964-2006-RICHARDS","Monkfish Gulf of Maine / Northern Georges Bank",2009-04-22,2010-03-01
"NEFSC-SURFMATLC-1965-2008-JACOBSON","Atlantic surfclam Mid-Atlantic Coast",2009-04-22,2011-02-11
"NEFSC-TILEMATLC-1973-2008-NITSCHKE","Tilefish Mid-Atlantic Coast",2009-04-22,2009-11-08
"ASMFC-PANDALGOM-1960-2009-IDOINE","Northern shrimp Gulf of Maine",2009-04-22,2009-11-08
"NEFSC-SCALLMATLC-1964-2006-HART","Sea scallop Mid-Atlantic Coast",2009-04-22,2010-02-24
"AFSC-REYEROCKGA-1974-2007-MELNYCHUK","Rougheye rockfish Gulf of Alaska",2009-04-23,2009-05-22
"NEFSC-SHAKESGBMATL-1955-2005-COL","Silver hake Southern Georges Bank / Mid-Atlantic",2009-04-24,2010-02-11
"NEFSC-SHAKEGOMNGB-1955-2005-COL","Silver hake Gulf of Maine / Northern Georges Bank",2009-04-24,2010-01-04
"AFSC-DSOLEGA-1978-2010-STANTON","Dover sole Gulf of Alaska",2009-04-27,2009-11-06
"NEFSC-HERRNWATLC-1960-2005-OVERHOLTZ","Atlantic herring Northwestern Atlantic Coast",2009-04-29,2010-07-28
"SEFSC-SBARSHARATL-1975-2004-FAUCONNET","Sandbar shark Atlantic",2009-04-29,2010-02-25
"NEFSC-MACKGOMCHATT-1960-2005-OVERHOLTZ","Atlantic mackerel Gulf of Maine / Cape Hatteras",2009-04-29,2009-05-26
"NEFSC-STRIPEDBASSGOMCHATT-1982-2006-SHEPHERD","Striped bass Gulf of Maine / Cape Hatteras",2009-04-29,2009-11-06
"NEFSC-SCUPNWATLC-1960-2007-TERCEIRO","Scup Atlantic Coast",2009-04-29,2011-02-04
"NEFSC-BSBASSMATLC-1968-2007-SHEPHERD","Black sea bass Mid-Atlantic Coast",2009-04-29,2010-07-27
"NEFSC-BLUEFISHATLC-1981-2007-SHEPHERD","Bluefish Atlantic Coast",2009-04-30,2011-03-02
"NEFSC-MONKSGBMATL-1964-2006-RICHARDS","Monkfish Southern Georges Bank / Mid-Atlantic",2009-05-01,2010-03-01
"SEFSC-BTIPSHARGM-1981-2004-FAUCONNET","Blacktip shark Gulf of Mexico",2009-05-04,2010-07-21
"SEFSC-BTIPSHARATL-1981-2004-FAUCONNET","Blacktip shark Atlantic",2009-05-05,2010-07-21
"DFO-SG-SNOWCRABSGSL-1984-2007-ANDERSON","Snow crab Southern Gulf of St. Lawrence",2009-05-06,2009-12-03
"SEFSC-BNOSESHARATL-1950-2005-FAUCONNET","Blacknose shark Atlantic",2009-05-06,2010-07-21
"SEFSC-SNOSESHARATL-1950-2005-FAUCONNET","Atlantic sharpnose shark Atlantic",2009-05-07,2010-02-25
"SEFSC-FTOOTHSHARATL-1976-2005-FAUCONNET","Finetooth shark Atlantic",2009-05-07,2010-07-21
"SEFSC-BHEADSHARATL-1950-2005-FAUCONNET","Bonnethead shark Atlantic",2009-05-08,2010-02-25
"SWFSC-DSOLEPCOAST-1910-2005-STANTON","Dover sole Pacific Coast",2009-05-18,2010-02-10
"NWFSC-SSTHORNHPCOAST-1901-2005-STANTON","Shortspine thornyhead Pacific Coast",2009-05-18,2010-02-05
"AFSC-CABEZNCAL-1916-2005-STANTON","Cabezon Northern California",2009-05-19,2010-01-29
"NWFSC-BGROCKPCOAST-1950-2005-STANTON","Blackgill rockfish  Pacific Coast",2009-05-19,2009-11-10
"NWFSC-YTROCKNPCOAST-1967-2005-STANTON","Yellowtail rockfish Northern Pacific Coast",2009-05-19,2010-03-19
"AFSC-CABEZSCAL-1932-2005-STANTON","Cabezon Southern California",2009-05-19,2010-01-29
"PFMC-LINGCODNPCOAST-1956-2005-STANTON","Lingcod Northern Pacific Coast",2009-05-20,2009-11-09
"NWFSC-PSOLENPCOAST-1910-2005-STANTON","Petrale sole Northern Pacific Coast",2009-05-20,2010-07-27
"SWFSC-GOPHERSPCOAST-1965-2005-STANTON","Gopher rockfish Southern Pacific Coast",2009-05-20,2010-05-17
"NWFSC-PSOLESPCOAST-1874-2005-STANTON","Petrale sole Southern Pacific Coast",2009-05-20,2010-07-27
"PFMC-LINGCODSPCOAST-1956-2005-STANTON","Lingcod Southern Pacific Coast",2009-05-20,2009-11-09
"NWFSC-KELPGREENLINGORECOAST-1979-2005-STANTON","Kelp greenling Oregon Coast",2009-05-22,2010-01-28
"NWFSC-LSTHORNHPCOAST-1962-2005-STANTON","Longspine thornyhead Pacific Coast",2009-05-22,2009-11-10
"NEFSC-RDEEPCRABNWATL-1982-2008-CHUTE","Red deepsea crab Northwestern Atlantic",2009-05-27,2009-11-08
"NAFO-SC-YELL3LNO-1960-2009-BAUM","Yellowtail Flounder NAFO 3LNO",2009-05-28,2010-01-07
"NAFO-SC-AMPL3M-1960-2007-BAUM","American Plaice NAFO-3M",2009-05-28,2010-01-07
"NAFO-SC-COD3M-1959-2008-BAUM","Atlantic cod NAFO 3M",2009-05-28,2009-11-13
"NAFO-SC-REDFISHSPP3LN-1959-2008-BAUM","Redfish species NAFO 3LN",2009-05-28,2010-05-05
"SEFSC-SNOWGROUPSATLC-1961-2002-STANTON","Snowy grouper Southern Atlantic coast",2009-05-29,2010-07-27
"SEFSC-TILESATLC-1961-2002-STANTON","Tilefish Southern Atlantic coast",2009-05-29,2010-03-17
"SEFSC-YTSNAPSATLCGM-1962-2001-STANTON","Yellowtail snapper Southern Atlantic Coast and Gulf of Mexico",2009-06-01,2010-01-19
"SEFSC-VSNAPSATLC-1946-2008-STANTON","Vermilion snapper Southern Atlantic coast",2009-06-01,2010-03-05
"NMFS-MENATLAN-1940-2005-STANTON","Atlantic menhaden Atlantic",2009-06-10,2010-07-27
"IMARM-SFMAKONWPAC-1990-2003-FAUCONNET","Shortfin mako Nothwest Pacific Ocean",2009-06-11,2011-03-03
"SWFSC-CALSCORPSCAL-1990-2005-STANTON","California scorpionfish Southern California",2009-08-07,2009-11-03
"ASMFC-LOBSTERSNE-1981-2007-STANTON","American lobster Southern New England",2009-08-12,2009-11-12
"ASMFC-LOBSTERGOM-1981-2007-STANTON","American lobster Gulf of Maine",2009-08-12,2009-11-12
"ASMFC-LOBSTERGB-1981-2007-STANTON","American lobster Georges Bank",2009-08-12,2009-11-12
"ASMFC-ATLCROAKMATLC-1973-2002-STANTON","Atlantic croaker Mid-Atlantic Coast",2009-08-13,2009-11-03
"NZMFishDEEPWATER-SMOOTHOREOCR-1979-2006-JENSEN","Smooth oreo Chatham Rise",2009-11-05,2010-07-19
"SFI-WPOLLNSO-1985-1994-JENSEN","Walleye pollock Northern Sea of Okhotsk",2009-11-10,2009-11-11
"VNIRO-WPOLLWBS-1994-2004-JENSEN","Walleye pollock Western Bering Sea",2009-11-11,2009-11-11
"NEFSC-QUAHATLC-1978-2008-CHUTE","Ocean quahog Atlantic Coast",2009-12-29,2010-07-21
"INIDEP-ARGHAKESARG-1985-2008-Parma","Argentine hake Southern Argentina",2010-01-13,2010-07-13
"NEFSC-WEAKFISHATLC-1981-2008-STANTON","Weakfish Atlantic Coast",2010-04-11,2010-07-28
"DFO-PAC-SABLEFPCAN-1913-2004-STANTON","Sablefish Pacific Coast of Canada",2010-05-06,2011-02-24
"SEFSC-RSNAPEGM-1872-2003-STANTON","Red snapper Eastern Gulf of Mexico",2010-05-10,2010-05-12
"SEFSC-RSNAPWGM-1880-2003-STANTON","Red snapper Western Gulf of Mexico",2010-05-10,2010-05-12
"IMARPE-PANCHPERUNC-1963-2004-RICARD","Peruvian anchoveta North-Central Peru",2010-07-21,2010-07-21
"SPC-STMARLINSWPO-1950-2004-JENSEN","Striped marlin Southwestern Pacific Ocean",2011-01-14,2011-02-24
"CSERG-ANCHOVYKILKACS-1991-2007-JENSEN","Anchovy kilka Caspian Sea",2011-01-14,2011-01-14
"CCSBT-SC-SBT-1931-2009-Parma","Southern bluefin tuna Southern Oceans",2011-01-16,2011-02-24
"CSIRO-PTOOTHFISHMI-1975-2010-FAY","Patagonian toothfish Macquarie Island",2011-01-18,2011-02-24
"DFO-NFLD-COD2J3KL-1850-2005-RICARD","Atlantic cod NAFO 2J3KL",2011-02-11,2011-02-11
"SPRFMO-CHTRACCH-1950-2010-RICARD","Chilean jack mackerel Chilean EEZ and offshore",2011-02-28,2011-02-28
"DFO-MAR-CUSK4X-1970-2007-RICARD","Cusk NAFO 4X",2011-03-01,2011-03-02
"DFO-SG-COD4TVn-1965-2009-RICARD","Atlantic cod NAFO 4TVn",2011-03-01,2011-03-01
