sauptaxonkey,saupname,scientificname,commonname,areaname,primarylme,assessid,tsyear,total,total_unit,ssb,ssb_unit,catch_landings,catch_landings_unit
600517,"Atheresthes stomias","Reinhardtius stomias","Arrowtooth flounder","Bering Sea and Aleutian Islands","East Bering Sea","AFSC-ARFLOUNDBSAI-1970-2008-STANTON",1994,659131,"MT",461060,"MT",14366,"MT"
600517,"Atheresthes stomias","Reinhardtius stomias","Arrowtooth flounder","Bering Sea and Aleutian Islands","East Bering Sea","AFSC-ARFLOUNDBSAI-1970-2008-STANTON",1995,673945,"MT",478406,"MT",9280,"MT"
600517,"Atheresthes stomias","Reinhardtius stomias","Arrowtooth flounder","Bering Sea and Aleutian Islands","East Bering Sea","AFSC-ARFLOUNDBSAI-1970-2008-STANTON",1996,692466,"MT",494967,"MT",14652,"MT"
600517,"Atheresthes stomias","Reinhardtius stomias","Arrowtooth flounder","Bering Sea and Aleutian Islands","East Bering Sea","AFSC-ARFLOUNDBSAI-1970-2008-STANTON",1997,704798,"MT",501634,"MT",10054,"MT"
600517,"Atheresthes stomias","Reinhardtius stomias","Arrowtooth flounder","Bering Sea and Aleutian Islands","East Bering Sea","AFSC-ARFLOUNDBSAI-1970-2008-STANTON",1998,726368,"MT",507398,"MT",15241,"MT"
600517,"Atheresthes stomias","Reinhardtius stomias","Arrowtooth flounder","Bering Sea and Aleutian Islands","East Bering Sea","AFSC-ARFLOUNDBSAI-1970-2008-STANTON",1999,748908,"MT",509864,"MT",10573,"MT"
600517,"Atheresthes stomias","Reinhardtius stomias","Arrowtooth flounder","Bering Sea and Aleutian Islands","East Bering Sea","AFSC-ARFLOUNDBSAI-1970-2008-STANTON",2000,780786,"MT",524969,"MT",12929,"MT"
600517,"Atheresthes stomias","Reinhardtius stomias","Arrowtooth flounder","Bering Sea and Aleutian Islands","East Bering Sea","AFSC-ARFLOUNDBSAI-1970-2008-STANTON",2001,817676,"MT",543316,"MT",13908,"MT"
600517,"Atheresthes stomias","Reinhardtius stomias","Arrowtooth flounder","Bering Sea and Aleutian Islands","East Bering Sea","AFSC-ARFLOUNDBSAI-1970-2008-STANTON",2002,856909,"MT",562611,"MT",11540,"MT"
600517,"Atheresthes stomias","Reinhardtius stomias","Arrowtooth flounder","Bering Sea and Aleutian Islands","East Bering Sea","AFSC-ARFLOUNDBSAI-1970-2008-STANTON",2003,904521,"MT",596293,"MT",12834,"MT"
600517,"Atheresthes stomias","Reinhardtius stomias","Arrowtooth flounder","Bering Sea and Aleutian Islands","East Bering Sea","AFSC-ARFLOUNDBSAI-1970-2008-STANTON",2004,951786,"MT",635103,"MT",17809,"MT"
600517,"Atheresthes stomias","Reinhardtius stomias","Arrowtooth flounder","Bering Sea and Aleutian Islands","East Bering Sea","AFSC-ARFLOUNDBSAI-1970-2008-STANTON",2005,993348,"MT",663351,"MT",13685,"MT"
600517,"Atheresthes stomias","Reinhardtius stomias","Arrowtooth flounder","Bering Sea and Aleutian Islands","East Bering Sea","AFSC-ARFLOUNDBSAI-1970-2008-STANTON",2006,1035350,"MT",697773,"MT",13309,"MT"
