"Kingdom","Phylum","Class","Order","Family","Genus","Species","LME#"
"Animalia","Chordata","Holocephali (chimaeras)","Chimaeriformes","Rhinochimaeridae","Neoharriotta","carri",1
"Animalia","Chordata","Holocephali (chimaeras)","Chimaeriformes","Rhinochimaeridae","Neoharriotta","pinnata",4
"Animalia","Chordata","Holocephali (chimaeras)","Chimaeriformes","Rhinochimaeridae","Rhinochimaera","africana",1
"Animalia","Chordata","Holocephali (chimaeras)","Chimaeriformes","Rhinochimaeridae","Rhinochimaera","atlantica",10
"Animalia","Chordata","Holocephali (chimaeras)","Chimaeriformes","Rhinochimaeridae","Rhinochimaera","pacifica",5
"Animalia","Chordata","Elasmobranchii (sharks and rays)","Hexanchiformes","Chlamydoselachidae","Chlamydoselachus","anguineus",16
"Animalia","Chordata","Elasmobranchii (sharks and rays)","Hexanchiformes","Hexanchidae","Heptranchias","perlo",22
"Animalia","Chordata","Elasmobranchii (sharks and rays)","Hexanchiformes","Hexanchidae","Hexanchus","griseus",36
"Animalia","Chordata","Elasmobranchii (sharks and rays)","Hexanchiformes","Hexanchidae","Hexanchus","nakamurai",10
"Animalia","Chordata","Elasmobranchii (sharks and rays)","Hexanchiformes","Hexanchidae","Notorynchus","cepedianus",15
"Animalia","Chordata","Elasmobranchii (sharks and rays)","Heterodontiformes","Heterodontidae","Heterodontus","francisci",2
"Animalia","Chordata","Elasmobranchii (sharks and rays)","Heterodontiformes","Heterodontidae","Heterodontus","galeatus",2
"Animalia","Chordata","Elasmobranchii (sharks and rays)","Heterodontiformes","Heterodontidae","Heterodontus","japonicus",4
"Animalia","Chordata","Elasmobranchii (sharks and rays)","Heterodontiformes","Heterodontidae","Heterodontus","mexicanus",2
"Animalia","Chordata","Elasmobranchii (sharks and rays)","Heterodontiformes","Heterodontidae","Heterodontus","omanensis",1
"Animalia","Chordata","Elasmobranchii (sharks and rays)","Heterodontiformes","Heterodontidae","Heterodontus","portusjacksoni",4
"Animalia","Chordata","Elasmobranchii (sharks and rays)","Heterodontiformes","Heterodontidae","Heterodontus","quoyi",2
"Animalia","Chordata","Elasmobranchii (sharks and rays)","Heterodontiformes","Heterodontidae","Heterodontus","ramalheira",1
"Animalia","Chordata","Elasmobranchii (sharks and rays)","Heterodontiformes","Heterodontidae","Heterodontus","zebra",10
"Animalia","Chordata","Elasmobranchii (sharks and rays)","Orectolobiformes","Brachaeluridae","Brachaelurus","waddi",1
"Animalia","Chordata","Elasmobranchii (sharks and rays)","Orectolobiformes","Ginglymostomatidae","Ginglymostoma","cirratum",11
"Animalia","Chordata","Elasmobranchii (sharks and rays)","Orectolobiformes","Ginglymostomatidae","Nebrius","ferrugineus",13
"Animalia","Chordata","Elasmobranchii (sharks and rays)","Orectolobiformes","Ginglymostomatidae","Pseudoginglymostoma","brevicaudatum",1
"Animalia","Chordata","Elasmobranchii (sharks and rays)","Orectolobiformes","Hemiscylliidae","Chiloscyllium","arabicum",1
"Animalia","Chordata","Elasmobranchii (sharks and rays)","Orectolobiformes","Hemiscylliidae","Chiloscyllium","griseum",7
"Animalia","Chordata","Elasmobranchii (sharks and rays)","Orectolobiformes","Hemiscylliidae","Chiloscyllium","hasseltii",3
"Animalia","Chordata","Elasmobranchii (sharks and rays)","Orectolobiformes","Hemiscylliidae","Chiloscyllium","indicum",6
"Animalia","Chordata","Elasmobranchii (sharks and rays)","Orectolobiformes","Hemiscylliidae","Chiloscyllium","plagiosum",6
"Animalia","Chordata","Elasmobranchii (sharks and rays)","Orectolobiformes","Hemiscylliidae","Chiloscyllium","punctatum",8
"Animalia","Chordata","Elasmobranchii (sharks and rays)","Orectolobiformes","Hemiscylliidae","Hemiscyllium","freycineti",1
"Animalia","Chordata","Elasmobranchii (sharks and rays)","Orectolobiformes","Hemiscylliidae","Hemiscyllium","hallstromi",1
"Animalia","Chordata","Elasmobranchii (sharks and rays)","Orectolobiformes","Hemiscylliidae","Hemiscyllium","ocellatum",5
"Animalia","Chordata","Elasmobranchii (sharks and rays)","Orectolobiformes","Hemiscylliidae","Hemiscyllium","strahani",1
"Animalia","Chordata","Elasmobranchii (sharks and rays)","Orectolobiformes","Hemiscylliidae","Hemiscyllium","trispeculare",4
"Animalia","Chordata","Elasmobranchii (sharks and rays)","Orectolobiformes","Orectolobidae","Eucrossorhinus","dasypogon",2
"Animalia","Chordata","Elasmobranchii (sharks and rays)","Orectolobiformes","Orectolobidae","Orectolobus","japonicus",5
"Animalia","Chordata","Elasmobranchii (sharks and rays)","Orectolobiformes","Orectolobidae","Orectolobus","maculatus",5
"Animalia","Chordata","Elasmobranchii (sharks and rays)","Orectolobiformes","Orectolobidae","Orectolobus","ornatus",6
"Animalia","Chordata","Elasmobranchii (sharks and rays)","Orectolobiformes","Orectolobidae","Orectolobus","wardi",3
"Animalia","Chordata","Elasmobranchii (sharks and rays)","Orectolobiformes","Orectolobidae","Sutorectus","tentaculatus",2
"Animalia","Chordata","Elasmobranchii (sharks and rays)","Orectolobiformes","Parascylliidae","Cirrhoscyllium","expolitum",1
"Animalia","Chordata","Elasmobranchii (sharks and rays)","Orectolobiformes","Parascylliidae","Cirrhoscyllium","formosanum",1
"Animalia","Chordata","Elasmobranchii (sharks and rays)","Orectolobiformes","Parascylliidae","Parascyllium","collare",1
"Animalia","Chordata","Elasmobranchii (sharks and rays)","Orectolobiformes","Parascylliidae","Parascyllium","ferrugineum",2
"Animalia","Chordata","Elasmobranchii (sharks and rays)","Orectolobiformes","Parascylliidae","Parascyllium","variolatum",2
"Animalia","Chordata","Elasmobranchii (sharks and rays)","Orectolobiformes","Rhincodontidae","Rhincodon","typus",31
"Animalia","Chordata","Elasmobranchii (sharks and rays)","Orectolobiformes","Stegostomatidae","Stegostoma","fasciatum",16
"Animalia","Chordata","Elasmobranchii (sharks and rays)","Lamniformes","Alopiidae","Alopias","pelagicus",12
"Animalia","Chordata","Elasmobranchii (sharks and rays)","Lamniformes","Alopiidae","Alopias","superciliosus",27
"Animalia","Chordata","Elasmobranchii (sharks and rays)","Lamniformes","Alopiidae","Alopias","vulpinus",41
"Animalia","Chordata","Elasmobranchii (sharks and rays)","Lamniformes","Cetorhinidae","Cetorhinus","maximus",33
"Animalia","Chordata","Elasmobranchii (sharks and rays)","Lamniformes","Lamnidae","Carcharodon","carcharias",33
"Animalia","Chordata","Elasmobranchii (sharks and rays)","Lamniformes","Lamnidae","Isurus","oxyrinchus",39
"Animalia","Chordata","Elasmobranchii (sharks and rays)","Lamniformes","Lamnidae","Isurus","paucus",9
"Animalia","Chordata","Elasmobranchii (sharks and rays)","Lamniformes","Lamnidae","Lamna","ditropis",7
"Animalia","Chordata","Elasmobranchii (sharks and rays)","Lamniformes","Lamnidae","Lamna","nasus",23
"Animalia","Chordata","Elasmobranchii (sharks and rays)","Lamniformes","Megachasmidae","Megachasma","pelagios",8
"Animalia","Chordata","Elasmobranchii (sharks and rays)","Lamniformes","Mitsukurinidae","Mitsukurina","owstoni",5
"Animalia","Chordata","Elasmobranchii (sharks and rays)","Lamniformes","Odontaspididae","Carcharias","taurus",26
"Animalia","Chordata","Elasmobranchii (sharks and rays)","Lamniformes","Odontaspididae","Carcharias","tricuspidatus",2
"Animalia","Chordata","Elasmobranchii (sharks and rays)","Lamniformes","Odontaspididae","Odontaspis","ferox",10
"Animalia","Chordata","Elasmobranchii (sharks and rays)","Lamniformes","Odontaspididae","Odontaspis","noronhai",2
"Animalia","Chordata","Elasmobranchii (sharks and rays)","Lamniformes","Pseudocarchariidae","Pseudocarcharias","kamoharai",13
"Animalia","Chordata","Elasmobranchii (sharks and rays)","Carcharhiniformes","Carcharhinidae","Carcharhinus","acronotus",6
"Animalia","Chordata","Elasmobranchii (sharks and rays)","Carcharhiniformes","Carcharhinidae","Carcharhinus","albimarginatus",14
"Animalia","Chordata","Elasmobranchii (sharks and rays)","Carcharhiniformes","Carcharhinidae","Carcharhinus","altimus",16
"Animalia","Chordata","Elasmobranchii (sharks and rays)","Carcharhiniformes","Carcharhinidae","Carcharhinus","amblyrhynchoides",7
"Animalia","Chordata","Elasmobranchii (sharks and rays)","Carcharhiniformes","Carcharhinidae","Carcharhinus","amblyrhynchos",11
"Animalia","Chordata","Elasmobranchii (sharks and rays)","Carcharhiniformes","Carcharhinidae","Carcharhinus","amboinensis",8
"Animalia","Chordata","Elasmobranchii (sharks and rays)","Carcharhiniformes","Carcharhinidae","Carcharhinus","borneensis",2
"Animalia","Chordata","Elasmobranchii (sharks and rays)","Carcharhiniformes","Carcharhinidae","Carcharhinus","brachyurus",20
"Animalia","Chordata","Elasmobranchii (sharks and rays)","Carcharhiniformes","Carcharhinidae","Carcharhinus","brevipinna",23
"Animalia","Chordata","Elasmobranchii (sharks and rays)","Carcharhiniformes","Carcharhinidae","Carcharhinus","cautus",5
"Animalia","Chordata","Elasmobranchii (sharks and rays)","Carcharhiniformes","Carcharhinidae","Carcharhinus","dussumieri",10
"Animalia","Chordata","Elasmobranchii (sharks and rays)","Carcharhiniformes","Carcharhinidae","Carcharhinus","falciformis",29
"Animalia","Chordata","Elasmobranchii (sharks and rays)","Carcharhiniformes","Carcharhinidae","Carcharhinus","fitzroyensis",2
"Animalia","Chordata","Elasmobranchii (sharks and rays)","Carcharhiniformes","Carcharhinidae","Carcharhinus","galapagensis",11
"Animalia","Chordata","Elasmobranchii (sharks and rays)","Carcharhiniformes","Carcharhinidae","Carcharhinus","hemiodon",5
"Animalia","Chordata","Elasmobranchii (sharks and rays)","Carcharhiniformes","Carcharhinidae","Carcharhinus","isodon",5
"Animalia","Chordata","Elasmobranchii (sharks and rays)","Carcharhiniformes","Carcharhinidae","Carcharhinus","leucas",22
"Animalia","Chordata","Elasmobranchii (sharks and rays)","Carcharhiniformes","Carcharhinidae","Carcharhinus","limbatus",33
"Animalia","Chordata","Elasmobranchii (sharks and rays)","Carcharhiniformes","Carcharhinidae","Carcharhinus","longimanus",32
"Animalia","Chordata","Elasmobranchii (sharks and rays)","Carcharhiniformes","Carcharhinidae","Carcharhinus","macloti",9
"Animalia","Chordata","Elasmobranchii (sharks and rays)","Carcharhiniformes","Carcharhinidae","Carcharhinus","macrops",1
"Animalia","Chordata","Elasmobranchii (sharks and rays)","Carcharhiniformes","Carcharhinidae","Carcharhinus","melanopterus",17
"Animalia","Chordata","Elasmobranchii (sharks and rays)","Carcharhiniformes","Carcharhinidae","Carcharhinus","obscurus",20
"Animalia","Chordata","Elasmobranchii (sharks and rays)","Carcharhiniformes","Carcharhinidae","Carcharhinus","perezii",4
"Animalia","Chordata","Elasmobranchii (sharks and rays)","Carcharhiniformes","Carcharhinidae","Carcharhinus","plumbeus",26
"Animalia","Chordata","Elasmobranchii (sharks and rays)","Carcharhiniformes","Carcharhinidae","Carcharhinus","porosus",8
"Animalia","Chordata","Elasmobranchii (sharks and rays)","Carcharhiniformes","Carcharhinidae","Carcharhinus","sealei",12
"Animalia","Chordata","Elasmobranchii (sharks and rays)","Carcharhiniformes","Carcharhinidae","Carcharhinus","signatus",12
"Animalia","Chordata","Elasmobranchii (sharks and rays)","Carcharhiniformes","Carcharhinidae","Carcharhinus","sorrah",12
"Animalia","Chordata","Elasmobranchii (sharks and rays)","Carcharhiniformes","Carcharhinidae","Carcharhinus","tilstoni",3
"Animalia","Chordata","Elasmobranchii (sharks and rays)","Carcharhiniformes","Carcharhinidae","Galeocerdo","cuvier",33
"Animalia","Chordata","Elasmobranchii (sharks and rays)","Carcharhiniformes","Carcharhinidae","Glyphis","gangeticus",3
"Animalia","Chordata","Elasmobranchii (sharks and rays)","Carcharhiniformes","Carcharhinidae","Glyphis","glyphis",3
"Animalia","Chordata","Elasmobranchii (sharks and rays)","Carcharhiniformes","Carcharhinidae","Isogomphodon","oxyrhynchus",2
"Animalia","Chordata","Elasmobranchii (sharks and rays)","Carcharhiniformes","Carcharhinidae","Lamiopsis","temminckii",4
"Animalia","Chordata","Elasmobranchii (sharks and rays)","Carcharhiniformes","Carcharhinidae","Loxodon","macrorhinus",12
"Animalia","Chordata","Elasmobranchii (sharks and rays)","Carcharhiniformes","Carcharhinidae","Nasolamia","velox",1
"Animalia","Chordata","Elasmobranchii (sharks and rays)","Carcharhiniformes","Carcharhinidae","Negaprion","acutidens",14
"Animalia","Chordata","Elasmobranchii (sharks and rays)","Carcharhiniformes","Carcharhinidae","Negaprion","brevirostris",9
"Animalia","Chordata","Elasmobranchii (sharks and rays)","Carcharhiniformes","Carcharhinidae","Prionace","glauca",42
"Animalia","Chordata","Elasmobranchii (sharks and rays)","Carcharhiniformes","Carcharhinidae","Rhizoprionodon","acutus",18
"Animalia","Chordata","Elasmobranchii (sharks and rays)","Carcharhiniformes","Carcharhinidae","Rhizoprionodon","lalandii",4
"Animalia","Chordata","Elasmobranchii (sharks and rays)","Carcharhiniformes","Carcharhinidae","Rhizoprionodon","longurio",2
"Animalia","Chordata","Elasmobranchii (sharks and rays)","Carcharhiniformes","Carcharhinidae","Rhizoprionodon","oligolinx",7
"Animalia","Chordata","Elasmobranchii (sharks and rays)","Carcharhiniformes","Carcharhinidae","Rhizoprionodon","porosus",5
"Animalia","Chordata","Elasmobranchii (sharks and rays)","Carcharhiniformes","Carcharhinidae","Rhizoprionodon","taylori",3
"Animalia","Chordata","Elasmobranchii (sharks and rays)","Carcharhiniformes","Carcharhinidae","Rhizoprionodon","terraenovae",6
"Animalia","Chordata","Elasmobranchii (sharks and rays)","Carcharhiniformes","Carcharhinidae","Scoliodon","laticaudus",8
"Animalia","Chordata","Elasmobranchii (sharks and rays)","Carcharhiniformes","Carcharhinidae","Triaenodon","obesus",16
"Animalia","Chordata","Elasmobranchii (sharks and rays)","Carcharhiniformes","Hemigaleidae","Chaenogaleus","macrostoma",5
"Animalia","Chordata","Elasmobranchii (sharks and rays)","Carcharhiniformes","Hemigaleidae","Hemigaleus","microstoma",8
"Animalia","Chordata","Elasmobranchii (sharks and rays)","Carcharhiniformes","Hemigaleidae","Hemipristis","elongata",9
"Animalia","Chordata","Elasmobranchii (sharks and rays)","Carcharhiniformes","Hemigaleidae","Paragaleus","pectoralis",3
"Animalia","Chordata","Elasmobranchii (sharks and rays)","Carcharhiniformes","Hemigaleidae","Paragaleus","tengi",3
"Animalia","Chordata","Elasmobranchii (sharks and rays)","Carcharhiniformes","Leptochariidae","Leptocharias","smithii",3
"Animalia","Chordata","Elasmobranchii (sharks and rays)","Carcharhiniformes","Proscylliidae","Eridacnis","barbouri",1
"Animalia","Chordata","Elasmobranchii (sharks and rays)","Carcharhiniformes","Proscylliidae","Eridacnis","radcliffei",4
"Animalia","Chordata","Elasmobranchii (sharks and rays)","Carcharhiniformes","Proscylliidae","Eridacnis","sinuans",1
"Animalia","Chordata","Elasmobranchii (sharks and rays)","Carcharhiniformes","Proscylliidae","Proscyllium","habereri",5
"Animalia","Chordata","Elasmobranchii (sharks and rays)","Carcharhiniformes","Proscylliidae","Proscyllium","venustum",2
"Animalia","Chordata","Elasmobranchii (sharks and rays)","Carcharhiniformes","Pseudotriakidae","Gollum","attenuatus",1
"Animalia","Chordata","Elasmobranchii (sharks and rays)","Carcharhiniformes","Pseudotriakidae","Pseudotriakis","microdon",8
"Animalia","Chordata","Elasmobranchii (sharks and rays)","Carcharhiniformes","Scyliorhinidae","Apristurus","acanutus",1
"Animalia","Chordata","Elasmobranchii (sharks and rays)","Carcharhiniformes","Scyliorhinidae","Apristurus","brunneus",4
"Animalia","Chordata","Elasmobranchii (sharks and rays)","Carcharhiniformes","Scyliorhinidae","Apristurus","canutus",1
"Animalia","Chordata","Elasmobranchii (sharks and rays)","Carcharhiniformes","Scyliorhinidae","Apristurus","gibbosus",1
"Animalia","Chordata","Elasmobranchii (sharks and rays)","Carcharhiniformes","Scyliorhinidae","Apristurus","herklotsi",3
"Animalia","Chordata","Elasmobranchii (sharks and rays)","Carcharhiniformes","Scyliorhinidae","Apristurus","internatus",1
"Animalia","Chordata","Elasmobranchii (sharks and rays)","Carcharhiniformes","Scyliorhinidae","Apristurus","japonicus",1
"Animalia","Chordata","Elasmobranchii (sharks and rays)","Carcharhiniformes","Scyliorhinidae","Apristurus","kampae",2
"Animalia","Chordata","Elasmobranchii (sharks and rays)","Carcharhiniformes","Scyliorhinidae","Apristurus","laurussonii",5
"Animalia","Chordata","Elasmobranchii (sharks and rays)","Carcharhiniformes","Scyliorhinidae","Apristurus","longicephalus",3
"Animalia","Chordata","Elasmobranchii (sharks and rays)","Carcharhiniformes","Scyliorhinidae","Apristurus","macrorhynchus",3
"Animalia","Chordata","Elasmobranchii (sharks and rays)","Carcharhiniformes","Scyliorhinidae","Apristurus","macrostomus",1
"Animalia","Chordata","Elasmobranchii (sharks and rays)","Carcharhiniformes","Scyliorhinidae","Apristurus","manis",2
"Animalia","Chordata","Elasmobranchii (sharks and rays)","Carcharhiniformes","Scyliorhinidae","Apristurus","microps",2
"Animalia","Chordata","Elasmobranchii (sharks and rays)","Carcharhiniformes","Scyliorhinidae","Apristurus","micropterygeus",1
"Animalia","Chordata","Elasmobranchii (sharks and rays)","Carcharhiniformes","Scyliorhinidae","Apristurus","nasutus",2
"Animalia","Chordata","Elasmobranchii (sharks and rays)","Carcharhiniformes","Scyliorhinidae","Apristurus","parvipinnis",5
"Animalia","Chordata","Elasmobranchii (sharks and rays)","Carcharhiniformes","Scyliorhinidae","Apristurus","pinguis",1
"Animalia","Chordata","Elasmobranchii (sharks and rays)","Carcharhiniformes","Scyliorhinidae","Apristurus","platyrhynchus",2
"Animalia","Chordata","Elasmobranchii (sharks and rays)","Carcharhiniformes","Scyliorhinidae","Apristurus","profundorum",3
"Animalia","Chordata","Elasmobranchii (sharks and rays)","Carcharhiniformes","Scyliorhinidae","Apristurus","riveri",3
"Animalia","Chordata","Elasmobranchii (sharks and rays)","Carcharhiniformes","Scyliorhinidae","Apristurus","sibogae",1
"Animalia","Chordata","Elasmobranchii (sharks and rays)","Carcharhiniformes","Scyliorhinidae","Apristurus","sinensis",2
"Animalia","Chordata","Elasmobranchii (sharks and rays)","Carcharhiniformes","Scyliorhinidae","Apristurus","spongiceps",2
"Animalia","Chordata","Elasmobranchii (sharks and rays)","Carcharhiniformes","Scyliorhinidae","Apristurus","stenseni",1
"Animalia","Chordata","Elasmobranchii (sharks and rays)","Carcharhiniformes","Scyliorhinidae","Asymbolus","analis",4
"Animalia","Chordata","Elasmobranchii (sharks and rays)","Carcharhiniformes","Scyliorhinidae","Asymbolus","funebris",2
