"assessid" "currentyr" "b.ratio" "u.ratio" "type" "fromassessment" "scientificname" "stocklong"
"157" "NZMFishLOBSTERWG-RROCKLOBSTERCRA1-1945-2001-JENSEN" 2001 1.13850310134499 0.880726997674661 "salt" "no" "Jasus edwardsii" "Red rock lobster New Zealand area CRA1"
"158" "NZMFishLOBSTERWG-RROCKLOBSTERCRA2-1945-2001-JENSEN" 2001 0.525341248416312 2.11648554826416 "salt" "no" "Jasus edwardsii" "Red rock lobster New Zealand area CRA2"
"159" "NZMFishLOBSTERWG-RROCKLOBSTERCRA4-1945-2005-JENSEN" 2005 0.668400655288767 1.32511427170923 "salt" "no" "Jasus edwardsii" "Red rock lobster New Zealand area CRA4"
"160" "NZMFishLOBSTERWG-RROCKLOBSTERCRA5-1945-2002-JENSEN" 2002 0.593494088777713 1.68401574285901 "salt" "no" "Jasus edwardsii" "Red rock lobster New Zealand area CRA5"
"161" "NZMFishLOBSTERWG-RROCKLOBSTERCRA7-1976-2005-JENSEN" 2005 0.72640924787574 0.430804241833537 "salt" "no" "Jasus edwardsii" "Red rock lobster New Zealand area CRA7"
"162" "NZMFishLOBSTERWG-RROCKLOBSTERCRA8-1976-2005-JENSEN" 2005 0.688990219046679 0.488712310901693 "salt" "no" "Jasus edwardsii" "Red rock lobster New Zealand area CRA8"
"163" "NZMFishMIDDEPTHSWG-GEMFISHNZ-1952-2007-JENSEN" 2006 1.63557064294778 0.428687464026706 "pepper" "yes" "Rexea solandri" "common gemfish New Zealand"
"164" "NZMFishMIDDEPTHSWG-NZLINGLIN3-4-1972-2007-JENSEN" 2007 3.06859446986501 0.0879935028248588 "pepper" "yes" "Genypterus blacodes" "New Zealand ling New Zealand Areas LIN 3 and 4"
"165" "NZMFishMIDDEPTHSWG-NZLINGLIN5-6-1972-2007-JENSEN" 2007 3.95890277162857 0.099139872611465 "pepper" "yes" "Genypterus blacodes" "New Zealand ling New Zealand Areas LIN 5 and 6"
"166" "NZMFishMIDDEPTHSWG-NZLINGLIN6b-1980-2006-JENSEN" 2006 2.18689536250862 0.112956883116883 "pepper" "yes" "Genypterus blacodes" "New Zealand ling New Zealand Area LIN 6b"
"167" "NZMFishMIDDEPTHSWG-NZLINGLIN72-1972-2007-JENSEN" 2007 2.48647635812674 0.323065772357724 "pepper" "yes" "Genypterus blacodes" "New Zealand ling New Zealand Area LIN 72"
"168" "NZMFishMIDDEPTHSWG-NZLINGLIN7WC-1972-2008-JENSEN" 2008 2.21385731123217 0.133847425742574 "pepper" "yes" "Genypterus blacodes" "New Zealand ling New Zealand Area LIN 7WC - WCSI"
"169" "NZMFishMIDDEPTHSWG-SBWHITACIR-1979-2006-JENSEN" 2006 1.15430662009736 0.91783018292683 "pepper" "yes" "Micromesistius australis" "Southern blue whiting Campbell Island Rise"
"170" "NZMFishMIDDEPTHSWG-SOUTHHAKECR-1975-2006-JENSEN" 2006 1.76839557949905 0.115969377162630 "pepper" "yes" "Merluccius australis" "Southern hake Chatham Rise"
"171" "NZMFishMIDDEPTHSWG-SOUTHHAKESA-1975-2007-JENSEN" 2007 2.91089194789382 0.10671332247557 "pepper" "yes" "Merluccius australis" "Southern hake Sub-Antarctic"
"172" "NZMFishSHELLFISHWG-PAUAPAU5A-1964-2006-JENSEN" 2006 0.720986660762088 2.82550395483353 "salt" "no" "Haliotis iris" "New Zealand abalone species New Zealand Area PAU 5A"
"173" "NZMFishSHELLFISHWG-PAUAPAU5B-1963-2007-JENSEN" 2007 1.01709029731011 0.593023248933244 "salt" "no" "Haliotis iris" "New Zealand abalone species New Zealand Area PAU 5B"
"174" "NZMFishSHELLFISHWG-PAUAPAU5D-1964-2006-JENSEN" 2006 0.441615411396078 2.102737941243 "salt" "no" "Haliotis iris" "New Zealand abalone species New Zealand Area PAU 5D"
"175" "NZMFishSHELLFISHWG-PAUAPAU7-1964-2008-JENSEN" 2008 0.873932791130533 0.94309317944891 "salt" "no" "Haliotis iris" "New Zealand abalone species New Zealand Area PAU 7"
"176" "RIDEM-LOBSTERRI-1959-2007-COLLIE" 2006 0.508406597424122 0.683934154811796 "salt" "no" "Homarus americanus" "American lobster Rhode Island"
"177" "RIDEM-TAUTOGRI-1959-2007-COLLIE" 2006 0.837809662973035 0.589083296626514 "salt" "no" "Tautoga onitis" "Tautog Rhode Island"
"178" "RIDEM-WINFLOUNDRI-1959-2007-COLLIE" 2006 0.0330730876496074 2.34817242062352 "salt" "no" "Pseudopleuronectes americanus" "Winter flounder Rhode Island"
"179" "SEFSC-GAGGM-1963-2004-JENSEN" 2004 1.25056219765533 1.83874264366593 "salt" "no" "Mycteroperca microlepis" "Gag Gulf of Mexico"
"180" "SEFSC-GAGSATLC-1962-2005-JENSEN" 2005 0.94233576020986 1.30801687763713 "pepper" "yes" "Mycteroperca microlepis" "Gag Southern Atlantic coast"
"181" "SEFSC-GRAMBERGM-1986-2004-JENSEN" 2004 0.461922297256774 1.52292363168212 "salt" "no" "Seriola dumerili" "Greater amberjack Gulf of Mexico"
"182" "SEFSC-KMACKGM-1992-2001-JENSEN" 2001 1.50968024400667 0.437675186323997 "salt" "no" "Scomberomorus cavalla" "King mackerel Gulf of Mexico"
"183" "SEFSC-KMACKSATLC-1981-2001-JENSEN" 2001 1.37630810152497 0.558691648958646 "salt" "no" "Scomberomorus cavalla" "King mackerel Southern Atlantic Coast"
"184" "SEFSC-MENATGM-1964-2004-GILROY" 2004 1.08038185063287 0.483008869940591 "salt" "no" "Brevoortia patronus" "Gulf menhaden Gulf of Mexico"
"185" "SEFSC-RGROUPGM-1986-2005-JENSEN" 2005 0.167574577712561 1.39216561657682 "salt" "no" "Epinephelus morio" "Red grouper Gulf of Mexico"
"186" "SEFSC-RPORGYSATLC-1972-2004-JENSEN" 2004 0.610676077403724 0.39075 "pepper" "yes" "Pagrus pagrus" "Red porgy Southern Atlantic coast"
"187" "SEFSC-SNOWGROUPSATLC-1961-2002-STANTON" 2002 0.186389413988658 3.08 "pepper" "yes" "Epinephelus niveatus" "Snowy grouper Southern Atlantic coast"
"188" "SEFSC-SPANMACKSATLC-1950-2008-JENSEN" 2007 0.377453916284022 0.90909090909091 "pepper" "yes" "Scomberomorus maculatus" "Spanish mackerel Southern Atlantic Coast"
"189" "SEFSC-TILESATLC-1961-2002-STANTON" 2002 0.93813964066409 1.54511627906977 "pepper" "yes" "Lopholatilus chamaeleonticeps" "Tilefish Southern Atlantic coast"
"190" "SEFSC-VSNAPSATLC-1946-2008-STANTON" 2007 0.860262008733624 1.27259067357513 "pepper" "yes" "Rhomboplites aurorubens" "Vermilion snapper Southern Atlantic coast"
"191" "SEFSC-YTSNAPSATLCGM-1962-2001-STANTON" 2001 1.14146142886220 0.611111111111111 "pepper" "yes" "Ocyurus chrysurus" "Yellowtail snapper Southern Atlantic Coast and Gulf of Mexico"
"192" "SFI-WPOLLNSO-1985-1994-JENSEN" 1992 1.10994076667117 0.872374756591144 "salt" "no" "Theragra chalcogramma" "Walleye pollock Northern Sea of Okhotsk"
"193" "SPC-ALBASPAC-1959-2006-JENSEN" 2006 2.45737623762376 0.904255319148936 "pepper" "yes" "Thunnus alalunga" "Albacore tuna South Pacific Ocean"
"194" "SPC-BIGEYEWPO-1952-2006-JENSEN" 2006 1.05675146771037 1.37673879443586 "pepper" "yes" "Thunnus obesus" "Bigeye tuna Western Pacific Ocean"
"195" "SPC-SKJCWPAC-1972-2006-JENSEN" 2006 4.37768396331917 0.303370786516854 "pepper" "yes" "Katsuwonus pelamis" "Skipjack tuna Central Western Pacific"
"196" "SPC-YFINCWPAC-1952-2005-JENSEN" 2005 1.22388937922918 0.797096053611318 "pepper" "yes" "Thunnus albacares" "Yellowfin tuna Central Western Pacific"
"197" "SWFSC-DSOLEPCOAST-1910-2005-STANTON" 2004 1.33169395017794 0.453575187546674 "salt" "no" "Microstomus pacificus" "Dover sole Pacific Coast"
"198" "SWFSC-GOPHERSPCOAST-1965-2005-STANTON" 2004 1.68800850911000 0.0836899736927598 "salt" "no" "Sebastes carnatus" "Gopher rockfish Southern Pacific Coast"
"199" "SWFSC-SARDPCOAST-1981-2007-PINSKY" 2006 1.36251955262361 0.412257655401088 "salt" "no" "Sardinops sagax" "Pacific sardine Pacific Coast"
"200" "SWFSC-STFLOUNNPCOAST-1970-2005-STANTON" 2004 0.676261285596023 0.331621769606974 "salt" "no" "Platichthys stellatus" "Starry flounder Northern Pacific Coast"
"201" "SWFSC-STFLOUNSPCOAST-1970-2005-STANTON" 2004 1.15446432280267 0.120704612545974 "salt" "no" "Platichthys stellatus" "Starry flounder Southern Pacific Coast"
"202" "TAFI-TASGIANTCRABTAS-1990-2007-JENSEN" 2007 0.501846548829861 1.70527792238684 "salt" "no" "Pseudocarcinus gigas" "Tasmanian giant crab Tasmania"
"203" "VNIRO-WPOLLWBS-1994-2004-JENSEN" 2004 2.16087891929077 0.26458485288592 "salt" "no" "Theragra chalcogramma" "Walleye pollock Western Bering Sea"
"204" "WGBFAS-CODBA2224-1969-2007-JENNINGS" 2006 0.309508530459605 1.55167757653797 "salt" "no" "Gadus morhua" "Atlantic cod Baltic Areas 22 and 24"
"205" "WGBFAS-CODBA2532-1964-2007-JENNINGS" 2006 0.137909386701711 1.5770045144076 "salt" "no" "Gadus morhua" "Atlantic cod Baltic Areas 25-32"
"206" "WGBFAS-CODKAT-1970-2006-MINTO" 2006 0.187796520822351 0.314303078454419 "salt" "no" "Gadus morhua" "Atlantic cod Kattegat"
"207" "WGBFAS-HERR2532-1973-2006-JENNINGS" 2006 0.68661268018773 0.786441357168947 "salt" "no" "Clupea harengus" "Herring ICES 25-32"
"208" "WGBFAS-HERR30-1972-2007-JENNINGS" 2006 1.19312880558138 1.10052282708793 "salt" "no" "Clupea harengus" "Herring ICES 30"
"209" "WGBFAS-HERR31-1979-2006-JENNINGS" 2006 0.271540254259168 1.65241270333895 "salt" "no" "Clupea harengus" "Herring ICES 31"
"210" "WGBFAS-HERRIsum-1983-2007-JENNINGS" 2006 0.703634839038973 0.889918852064921 "salt" "no" "Clupea harengus" "Herring Iceland (Summer spawners)"
"211" "WGBFAS-HERRRIGA-1976-2007-JENNINGS" 2006 1.20823578488545 0.873536221148056 "salt" "no" "Clupea harengus" "Herring ICES 28"
"212" "WGBFAS-SOLEIIIa-1982-2007-JENNINGS" 2006 1.24659278670582 0.536075999922487 "salt" "no" "Solea vulgaris" "common European sole ICES Kattegat and Skagerrak"
"213" "WGBFAS-SPRAT22-32-1973-2007-JENNINGS" 2006 1.12908033984200 1.26673620328686 "salt" "no" "Sprattus sprattus" "Sprat ICES Baltic Areas 22-32"
"214" "WGHMM-FMEG8c9a-1986-2006-JENNINGS" 2006 2.41923321827139e-05 1.60609947160872 "salt" "no" "Lepidorhombus boscii" "Fourspotted megrim ICES VIIIc-IXa"
"215" "WGHMM-HAKENRTN-1977-2007-JENNINGS" 2006 1.04378261094178 0.735028340718792 "salt" "no" "Merluccius merluccius" "Hake Northeast Atlantic North"
"216" "WGHMM-MEG8c9a-1985-2007-JENNINGS" 2006 0.244625893097903 1.30913054344315 "salt" "no" "Lepidorhombus whiffiagonis" "Megrim ICES VIIIc-IXa"
"217" "WGHMM-SOLEVIII-1982-2006-JENNINGS" 2006 0.616845919342243 1.12580244766757 "salt" "no" "Solea vulgaris" "common European sole Bay of Biscay"
"218" "WGMHSA-MACKNEICES-1972-2007-JENNINGS" 2006 0.9761153054221 0.733103935660011 "salt" "no" "Scomber scombrus" "Mackerel ICES Northeast Atlantic"
"219" "WGNPBW-BWHITNEA-1980-2007-JENNINGS" 2006 0.66661044169074 1.66266278307182 "salt" "no" "Micromesistius poutassou" "Whiting Northeast Atlantic"
"220" "WGNSDS-CODIS-1968-2006-MINTO" 2006 0.087907446266404 0.692048336045009 "salt" "no" "Gadus morhua" "Atlantic cod Irish Sea"
"221" "WGNSDS-CODVIa-1977-2006-MINTO" 2006 0.103372909769331 0.448930971101246 "salt" "no" "Gadus morhua" "Atlantic cod West of Scotland"
"222" "WGNSDS-HADVIa-1977-2006-MINTO" 2006 0.576469077636763 0.732218847607599 "salt" "no" "Melanogrammus aeglefinus" "Haddock West of Scotland"
"223" "WGNSDS-PLAICIS-1962-2006-MINTO" 2006 1.07314554899493 0.227848653192576 "salt" "no" "Pleuronectes platessa" "European Plaice Irish Sea"
"224" "WGNSDS-SOLEIS-1968-2006-MINTO" 2006 0.364430254306365 1.16255992712935 "salt" "no" "Solea vulgaris" "common European sole Irish Sea"
"225" "WGNSSK-CODNS-1962-2007-MINTO" 2006 0.187052484562661 0.801403020199923 "salt" "no" "Gadus morhua" "Atlantic cod North Sea"
"226" "WGNSSK-HADNS-IIIa-1963-2006-MINTO" 2006 0.622940231015581 0.251992764247266 "salt" "no" "Melanogrammus aeglefinus" "Haddock ICES IIIa and North Sea"
"227" "WGNSSK-HADROCK-1990-2007-JENNINGS" 2006 1.10002633138042 0.524978606741218 "salt" "no" "Melanogrammus aeglefinus" "Haddock Rockall Bank"
"228" "WGNSSK-NPOUTNS-1983-2007-MINTO" 2006 0.900289499717783 0.328633588669728 "salt" "no" "Trisopterus esmarkii" "Norway pout North Sea"
"229" "WGNSSK-POLLNS-VI-IIIa-1964-2006-MINTO" 2006 0.564655280491451 0.974450437320397 "salt" "no" "Pollachius virens" "Pollock ICES IIIa, VI and North Sea"
"230" "WGNSSK-SEELNS-1983-2007-MINTO" 2007 0.919012087669737 0.235719714284350 "salt" "no" "Ammodytes marinus" "Sandeel North Sea"
"231" "WGNSSK-WHITNS-VIId-IIIa-1979-2006-MINTO" 2006 0.330166410823582 1.03788090909436 "salt" "no" "Merlangius merlangus" "Whiting ICES IIIa, VIId and North Sea"
"232" "WGSSDS-HADVIIb-k-1993-2006-JENNINGS" 2006 1.37130801687764 0.410435827747791 "salt" "no" "Melanogrammus aeglefinus" "Haddock ICES VIIb-k"
"233" "WGSSDS-PLAICCELT-1976-2006-JENNINGS" 2006 0.646042040944754 0.413352387394563 "salt" "no" "Pleuronectes platessa" "European Plaice ICES VIIf-g"
"234" "WGSSDS-PLAICECHW-1975-2006-JENNINGS" 2006 0.513540074872325 1.38664467662442 "salt" "no" "Pleuronectes platessa" "European Plaice ICES VIIe"
"235" "WGSSDS-SOLECS-1970-2006-JENNINGS" 2006 0.900246874612497 0.951942141842146 "salt" "no" "Solea vulgaris" "common European sole Celtic Sea"
"236" "WGSSDS-SOLEVIIe-1968-2006-JENNINGS" 2006 0.50794530352618 1.74593019661725 "salt" "no" "Solea vulgaris" "common European sole Western English Channel"
"237" "WGSSDS-WHITVIIek-1982-2007-JENNINGS" 2006 0.442524070088541 1.24986838655651 "salt" "no" "Merlangius merlangus" "Whiting ICES VIIe-k"
