"assessid","maxyr","total","bmsy","ratio"
"178","SPC-ALBASPAC-1959-2006-JENSEN",1992,607900,538957,1.12791929597352
"179","SPC-BIGEYEWPO-1952-2006-JENSEN",1992,392000,501459,0.781718944121055
"180","SPC-SKJCWPAC-1972-2006-JENSEN",1992,4129150,5024880,0.821741016700896
"181","SPC-YFINCWPAC-1952-2005-JENSEN",1992,3140000,2494860,1.25858765622119
"182","SWFSC-DSOLEPCOAST-1910-2005-STANTON",1992,243693,281000,0.86723487544484
"183","SWFSC-GOPHERSPCOAST-1965-2005-STANTON",1992,2798.8,2995.5,0.934334835586713
"184","SWFSC-STFLOUNNPCOAST-1970-2005-STANTON",1992,14087,7718.91,1.82499860731632
"185","SWFSC-STFLOUNSPCOAST-1970-2005-STANTON",1992,2781,3129.59,0.888614802577973
"186","TAFI-TASGIANTCRABTAS-1990-2007-JENSEN",1992,1786.05,1519.05,1.17576774958033
"187","WGBFAS-CODBA2224-1969-2007-JENNINGS",1992,42239,115194,0.366677083875896
"188","WGBFAS-CODBA2532-1964-2007-JENNINGS",1992,133388,1057370,0.126150732477751
"189","WGBFAS-CODKAT-1970-2006-MINTO",1992,11145,42492.8,0.262279727389111
"190","WGBFAS-HERR2532-1973-2006-JENNINGS",1992,1323292,1909120,0.693142390211197
"191","WGBFAS-HERR30-1972-2007-JENNINGS",1992,525970,358191,1.46840652054351
"192","WGBFAS-HERR31-1979-2006-JENNINGS",1992,36094,55195.8,0.653926566876465
"193","WGBFAS-HERRIsum-1983-2007-JENNINGS",1992,514000,964999,0.532643039008331
"194","WGBFAS-HERRRIGA-1976-2007-JENNINGS",1992,160537,117463,1.36670270638414
"195","WGBFAS-SOLEIIIa-1982-2007-JENNINGS",1992,6715,3800.76,1.76675191277534
"196","WGBFAS-SPRAT22-32-1973-2007-JENNINGS",1992,1857000,1610160,1.15330153525116
"197","WGHMM-FMEG8c9a-1986-2006-JENNINGS",1992,6150,8214,0.74872169466764
"198","WGHMM-HAKENRTN-1977-2007-JENNINGS",1992,163861,232284,0.705433865440581
"199","WGHMM-MEG8c9a-1985-2007-JENNINGS",1992,1839,2955,0.62233502538071
"200","WGHMM-SOLEVIII-1982-2006-JENNINGS",1992,20609,20609,1
"201","WGMHSA-MACKNEICES-1972-2007-JENNINGS",1992,3463702,2986850,1.15965046788423
"202","WGNPBW-BWHITNEA-1980-2007-JENNINGS",1992,3550335,10523200,0.337381689980234
"203","WGNSDS-CODIS-1968-2006-MINTO",1992,15518,30044.1,0.516507400787509
"204","WGNSDS-CODVIa-1977-2006-MINTO",1992,20053.1,57758.9,0.347186321069134
"205","WGNSDS-HADVIa-1977-2006-MINTO",1992,64449,78659.9,0.819337426058258
"206","WGNSDS-PLAICIS-1962-2006-MINTO",1992,7071,12397.2,0.570370728874262
"207","WGNSDS-SOLEIS-1968-2006-MINTO",1992,3950,5913.34,0.667981208589393
"208","WGNSSK-CODNS-1962-2007-MINTO",1992,430043,836284,0.51423081154249
"209","WGNSSK-HADNS-IIIa-1963-2006-MINTO",1992,1326278,1667420,0.795407275911288
"210","WGNSSK-HADROCK-1990-2007-JENNINGS",1992,51181,30382,1.68458297676256
"211","WGNSSK-NPOUTNS-1983-2007-MINTO",1992,1050528,659068,1.59395995557363
"212","WGNSSK-POLLNS-VI-IIIa-1964-2006-MINTO",1992,274873,1018310,0.269930571240585
"213","WGNSSK-SEELNS-1983-2007-MINTO",1992,2091203,1904420,1.09807868012308
"214","WGNSSK-WHITNS-VIId-IIIa-1979-2006-MINTO",1992,407827,457963,0.890523906953182
"215","WGSSDS-PLAICCELT-1976-2006-JENNINGS",1992,3871,3940.92,0.982257949920323
"216","WGSSDS-PLAICECHW-1975-2006-JENNINGS",1992,5092,7041.32,0.723159862071316
"217","WGSSDS-SOLECS-1970-2006-JENNINGS",1992,3822,4435.45,0.861693852934877
"218","WGSSDS-SOLEVIIe-1968-2006-JENNINGS",1992,4206,6877,0.611603897048131
"219","WGSSDS-WHITVIIek-1982-2007-JENNINGS",1992,48186,60728.9,0.793460774030157
