\noindent For the following stocks, only a \verb|.doc| file was found:
CHAENOSGEORGIA,
SPOTSTROUTFLNW,
COHOFLYN,
SNOOKFLATLANTIC,
COHODEERFRY,
SNOOKFLGULF,
WHFSHPETCHORA,
SEELNS,

\noindent For the following stocks, only a \verb|.dat| file was found:
CHNKBLOSSOM,
WHSHERR,
COHOHUNTFRY,
COD4Vs,
HHERRHOKA,
 CHNKCHICKAMIN , Chinook salmon , Chickamin River Alaska-B.C. 
 CHNKKETA , Chinook salmon , Keta River Alaska-B.C. 
 CHNKKING , Chinook salmon , King Salmon River Alaska 
 CHNKSITUK , Chinook salmon , Situk River Alaska 
 CHUBEDEN , Chub , River Eden southeast England 
 CHUBRSTO , Chub , River Stour Dorset 
 CHUMCAK , Chum salmon , Central Alaska 
 CHUMCBC , Chum salmon , Central Coast B.C. 
 CHUMFR , Chum salmon , Fraser River B.C. 
 CHUMHOOK , Chum salmon , Hooknose Creek B.C. 
 CHUMJOHN , Chum salmon , Johnstone Strait 
 CHUMMIN , Chum salmon , Minter Creek Washington 
 CHUMNBC , Chum salmon , North Coast B.C. 
 CHUMQCI , Chum salmon , Queen Charlotte Islands B.C. 
 CHUMTILL , Chum salmon , Tillamook Bay Oregon 
 CHUMWVAN , Chum salmon , West Coast Vancouver Island B.C. 
 CMACKBAJA , Chub mackerel , Soledad Basin Baja California 
 CMACKCAL , Chub mackerel , Southern California 
 CMACKCAL2 , Chub mackerel , Southern California 
 CMACKGCAL , Chub mackerel , Gulf of California 
 CMACKJAP , Chub mackerel , Pacific Coast of Japan 
 CMACKJAP2 , Chub mackerel , Pacific Coast of Japan 
 CMACKSA , Chub mackerel , South Africa 1.6 
 CNMACKSE , Cunene horse mackerel , N.W. Africa (CECAF 34.1.3-34.3.1) 
 COD1 , Cod , West Greenland (NAFO 1) 
 COD2J3KL , Cod , NAFO 2J3KL 
 COD3M , Cod , NAFO 3M 
 COD3MVPA , Cod , NAFO 3M 
 COD3NO , Cod , NAFO 3NO 
 COD3Pn4RS , Cod , NAFO 3Pn4RS 
 COD3Pn4RS2 , Cod , NAFO 3Pn4RS 
 COD3Ps , Cod , NAFO 3Ps 
 COD4TVn , Cod , NAFO 4TVn 
 COD4VsW , Cod , NAFO 4VsW 
 COD4X , Cod , NAFO 4X 
 COD5Y , Cod , NAFO 5Y 
 COD5Y2 , Cod , NAFO 5Y 
 COD5Z , Cod , NAFO 5Z 
 COD5Z2 , Cod , NAFO 5Z 
 CODBA2224 , Cod , Baltic Areas 22 and 24 
 CODBA2532 , Cod , Baltic Areas 25-32 
 CODCOASTNOR , Cod , Coastal Norway 
 CODCS , Cod , Celtic Sea 
 CODFAPL , Cod , Faroe Plateau 
 CODGREEN , Cod , Greenland offshore component 
 CODICE , Cod , Iceland 
 CODICE2 , Cod , Iceland 
 CODIS , Cod , Irish Sea 
 CODKAT , Cod , Kattegat 
 CODNEAR , Cod , North East Arctic 
 CODNEAR2 , Cod , North East Arctic 
 CODNEAR3 , Cod , North East Arctic 
 CODNEAR4 , Cod , North East Arctic 
