assessid, issueid, datesent, datereply, dateapproved, notes, qaqc
"AFWG-POLLNEAR-1957-2006-MINTO",367,"2009-06-05","2009-06-06","2009-06-08","",1
"AFWG-REDDEEPI-II-1985-2006-MINTO",368,"2009-06-05","2009-06-06","2009-06-08","",1
"HAWG-HERR2224IIIa-1991-2006-MINTO",369,"2009-06-05","2009-06-06","2009-06-08","",1
"HAWG-HERRNS-1960-2007-MINTO",370,"2009-06-05","2009-06-06","2009-06-08","",1
"HAWG-HERRVIa-1957-2006-MINTO",371,"2009-06-05","2009-06-06","2009-06-08","",1
"HAWG-HERRVIaVIIbc-1969-2000-MINTO",372,"2009-06-05","2009-06-06","2009-06-08","",1
"HAWG-SPRATNS-1995-2007-MINTO",373,"2009-06-05","2009-06-06","2009-06-08","",1
"NWWG-CAPEICE-1977-2007-MINTO",374,"2009-06-05","2009-06-06","2009-06-08","",1
"NWWG-CODFAPL-1959-2006-MINTO",375,"2009-06-05","2009-06-08","2009-06-08","",1
"NWWG-CODICE-1952-2006-MINTO",376,"2009-06-05","2009-06-08","2009-06-08","",1
"NWWG-HADFAPL-1955-2006-MINTO",377,"2009-06-05","2009-06-08","2009-06-08","",1
"NWWG-HADICE-1977-2007-MINTO",378,"2009-06-05","2009-06-08","2009-06-08","",1
"NWWG-POLLFAPL-1958-2006-MINTO",379,"2009-06-05","2009-06-08","2009-06-08","",1
"WGBFAS-CODKAT-1970-2006-MINTO",380,"2009-06-05","2009-06-08","2009-06-10","",1
"WGNSDS-CODIS-1968-2006-MINTO",381,"2009-06-05","2009-06-08","2009-06-10","",1
"WGNSDS-CODVIa-1977-2006-MINTO",382,"2009-06-05","2009-06-08","2009-06-10","",1
"WGNSDS-HADIS-1972-2006-MINTO",383,"2009-06-05","2009-06-08","2009-06-10","",1
"WGNSDS-HADVIa-1977-2006-MINTO",384,"2009-06-05","2009-06-08","2009-06-10","",1
"WGNSDS-PLAICIS-1962-2006-MINTO",385,"2009-06-05","2009-06-08","2009-06-10","",1
"WGNSDS-SOLEIS-1968-2006-MINTO",386,"2009-06-05","2009-06-08","2009-06-10","",1
"WGNSDS-WHITVIa-1984-2007-MINTO",387,"2009-06-05","2009-06-09","2009-06-10","",1
"WGNSSK-HADNS-IIIa-1963-2006-MINTO",388,"2009-06-05","2009-06-09","2009-06-10","",1
"WGNSSK-NPOUTNS-1983-2007-MINTO",389,"2009-06-05","2009-06-09","2009-06-10","",1
"WGNSSK-PLAIC7d-1979-2006-MINTO",390,"2009-06-05","2009-06-09","2009-06-10","",1
"WGNSSK-PLAICIIIa-1976-2006-MINTO",391,"2009-06-05","2009-06-09","2009-06-10","",1
"WGNSSK-PLAICNS-1956-2006-MINTO",392,"2009-06-05","2009-06-09","2009-06-10","",1
"WGNSSK-POLLNS-VI-IIIa-1964-2006-MINTO",393,"2009-06-05","2009-06-09","2009-06-10","",1
"WGNSSK-SEELNS-1983-2007-MINTO",394,"2009-06-05","2009-06-09","2009-06-10","",1
"WGNSSK-SOLENS-1956-2006-MINTO",395,"2009-06-05","2009-06-09","2009-06-10","",1
"WGNSSK-SOLEVIId-1981-2006-MINTO",396,"2009-06-05","2009-06-09","2009-06-10","",1
"WGNSSK-WHITNS-VIId-IIIa-1979-2006-MINTO",397,"2009-06-05","2009-06-09","2009-06-10","",1
"WGNSSK-CODNS-1962-2007-MINTO",398,"2009-06-05","2009-06-09","2009-06-10","",1
"DFO-PAC-PCODHS-1956-2005-COLLIE",310,"2009-03-24","2009-05-02","2009-05-13","",1
"DFO-PAC-PCODWCVANI-1956-2002-COLLIE",311,"2009-03-24","2009-05-02","2009-05-13","",1
"DFO-PAC-HERRCC-1951-2007-COLLIE",305,"2009-03-24","2009-05-02","2009-05-13","",1
"DFO-PAC-HERRPRD-1951-2007-COLLIE",306,"2009-03-24","2009-05-02","2009-05-13","",1
"DFO-PAC-HERRQCI-1951-2007-COLLIE",307,"2009-03-24","2009-05-02","2009-05-13","",1
"DFO-PAC-HERRSOG-1951-2007-COLLIE",308,"2009-03-24","2009-05-02","2009-05-13","",1
"DFO-PAC-HERRWCVANI-1951-2007-COLLIE",309,"2009-03-24","2009-05-02","2009-05-13","",1
"DFO-PAC-RSOLEHSTR-1945-2001-COLLIE",107,"2009-03-24","2009-05-02","2009-05-13","",1
"DFO-PAC-ESOLEHS-1944-2001-COLLIE",106,"2009-03-24","2009-05-02","2009-05-13","",1
"NWFSC-ARFLOUNDPCOAST-1916-2007-BRANCH",22,"2009-03-27","2009-04-06","2009-04-27","",1
"NWFSC-BLACKROCKSPCOAST-1915-2007-BRANCH",37,"2009-03-27","2009-04-06","2009-05-01","",1
"NWFSC-BLACKROCKNPCOAST-1914-2006-BRANCH",38,"2009-03-27","2009-04-06","2009-04-27","",1
"NWFSC-BLUEROCKCAL-1916-2007-BRANCH",39,"2009-03-27","2009-04-06","2009-06-02","",1
"NWFSC-COWCODSCAL-1900-2007-BRANCH",40,"2009-03-27","2009-04-19","2009-06-02","",1
"NWFSC-LNOSESKAPCOAST-1915-2007-BRANCH",41,"2009-03-27","2009-05-06","2009-06-02","",1
"NWFSC-SABLEFPCOAST-1900-2007-BRANCH",42,"2009-03-27","2009-05-06","2009-06-02","",1
"NWFSC-DKROCKPCOAST-1928-2007-BRANCH",43,"2009-03-27","2009-04-21","2009-04-27","",1
"NWFSC-BOCACCSPCOAST-1951-2006-BRANCH",61,"2009-03-27","2009-04-06","2010-03-19",,1
"NWFSC-WROCKPCOAST-1955-2006-BRANCH",62,"2009-03-27","2009-05-06","2010-03-08","",1
"NWFSC-POPERCHPCOAST-1953-2007-BRANCH",63,"2009-03-27","2009-05-06","2010-03-19",,1
"NWFSC-YEYEROCKPCOAST-1923-2006-BRANCH",65,"2009-03-27",,,,
"SWFSC-SBELLYROCKPCOAST-1950-2005-BRANCH",66,"2009-03-27","2009-05-06","2011-03-02",,1
"NWFSC-PHAKEPCOAST-1966-2008-BRANCH",74,"2009-03-27","2009-05-06","2010-05-27",,1
"NWFSC-CHILISPCOAST-1892-2007-BRANCH",83,"2009-03-27",,,,
"SEFSC-MENATGM-1964-2004-GILROY",141,"2009-03-04",,,,
"RIDEM-LOBSTERRI-1959-2007-COLLIE",312,"2009-03-24","2009-05-02","2009-05-13","",1
"RIDEM-TAUTOGRI-1959-2007-COLLIE",313,"2009-03-24","2009-05-02","2009-05-14","",1
"NWFSC-ESOLEPCOAST-1876-2007-BRANCH",21,"2009-03-27","2009-06-04","2010-03-16",,1
"NWFSC-CROCKPCOAST-1916-2007-BRANCH",84,"2009-03-27",,,,
"NWFSC-CROCKPCOAST-1916-2009-Stachura",84,"2011-04-04",,,,
"RIDEM-WINFLOUNDRI-1959-2007-COLLIE",314,"2009-03-24","2009-05-02","2009-05-14","",1
"AFSC-SRAKEROCKBSAI-1977-2008-STANTON",236,"2009-05-29","2009-05-29","2010-02-10","",1
"AFSC-FLSOLEBSAI-1977-2008-STANTON",232,"2009-05-29","2009-05-29","2010-02-10","",1
"AFSC-REYEROCKBSAI-1974-2009-STANTON",234,"2009-05-29","2009-05-29","2010-02-10","",1
"AFSC-NRSOLEEBSAI-1971-2008-STANTON",238,"2009-05-29","2009-05-29","2010-02-10","",1
"AFSC-ATKABSAI-1976-2009-STANTON",240,"2009-05-29","2009-05-29","2010-02-10","",1
"AFSC-GHALBSAI-1960-2009-STANTON",243,"2009-05-29","2009-05-29","2010-02-10","",1
"AFSC-ARFLOUNDBSAI-1970-2008-STANTON",244,"2009-05-29","2009-05-29","2010-02-10","",1
"AFSC-NROCKBSAI-1974-2009-STANTON",255,"2009-05-29","2009-05-29","2010-02-10","",1
"AFSC-PERCHEBSAI-1974-2009-STANTON",256,"2009-05-29","2009-05-29","2010-02-10","",1
"AFSC-ARFLOUNDGA-1958-2010-STANTON",281,"2009-05-29","2009-05-29","2010-02-10","",1
"SWFSC-DSOLEPCOAST-1910-2005-STANTON",333,"2009-05-29","2009-05-29","2010-02-10","",1
"SWFSC-GOPHERSPCOAST-1965-2005-STANTON",339,"2009-05-29","2009-05-29","2010-02-10","",1
"SWFSC-STFLOUNSPCOAST-1970-2005-STANTON",343,"2009-05-29","2009-05-29","2010-02-10","",1
"SWFSC-STFLOUNNPCOAST-1970-2005-STANTON",344,"2009-05-29","2009-05-29","2010-02-10","",1
"SEFSC-VSNAPSATLC-1946-2008-STANTON",356,"2009-11-09","2010-01-19","2010-03-05","",1
"AFSC-SABLEFEBSAIGA-1956-2008-MELNYCHUK",266,"2009-05-26","2009-05-27","2010-05-10",,1
"AFSC-WPOLLEBS-1963-2008-MELNYCHUK",267,"2009-05-26","2009-05-27","2010-03-16",,1
"AFSC-PCODBSAI-1964-2008-MELNYCHUK",268,"2009-05-26","2009-05-27","2010-07-27",,1
"AFSC-ALPLAICBSAI-1972-2008-MELNYCHUK",269,"2009-05-26","2009-05-27","2010-05-10",,1
"AFSC-YSOLEBSAI-1959-2008-MELNYCHUK",270,"2009-05-26","2009-05-27","2010-07-27",,1
"AFSC-PCODGA-1964-2008-MELNYCHUK",271,"2009-05-26","2009-05-27","2010-07-27",,1
"AFSC-WPOLLGA-1964-2008-MELNYCHUK",272,"2009-05-26","2009-05-27","2010-07-27",,1
"AFSC-NROCKGA-1959-2008-MELNYCHUK",282,"2009-05-26","2009-05-27","2010-07-27",,1
"AFSC-DUSROCKGA-1973-2008-MELNYCHUK",283,"2009-05-26","2009-05-27","2010-07-27",,1
"AFSC-WPOLLAI-1976-2008-MELNYCHUK",284,"2009-05-26","2009-05-27","2010-07-27",,1
"AFSC-POPERCHGA-1959-2008-MELNYCHUK",289,"2009-05-26","2009-05-27","2010-07-27",,1
"AFSC-POPERCHGA-1959-2010-Stachura",289,"2011-05-03","2011-05-03","2011-06-10","benevolent dictator QAQC",1
"AFSC-REYEROCKGA-1974-2007-MELNYCHUK",290,"2009-05-26","2009-05-27","2010-07-27",,1
"AFSC-SNOWCRABBS-1979-2008-JENSEN",257,"2009-06-10","2009-06-11","2010-07-28",,1
"AFSC-RKCRABBB-1960-2008-JENSEN",258,"2009-06-05","2009-06-12","2009-06-12","",1
"AFSC-TANNERCRABBSAI-1965-2008-JENSEN",259,"2009-06-05","2009-06-11","2009-06-12","",1
"AFSC-RKCRABPI-1981-2009-JENSEN",260,"2009-06-05","2009-06-11","2009-06-12","",1
"AFSC-BKINGCRABPI-1960-2008-JENSEN",261,"2009-06-05","2009-06-11","2009-06-12","",1
"AFSC-BKINGCRABSMI-1960-2008-JENSEN",262,"2009-06-05","2009-06-11","2009-06-12","",1
"AFSC-RKCRABNS-1976-2008-JENSEN",263,"2009-06-05","2009-06-11","2010-07-28",,1
"AFSC-GKINGCRABAIES-1990-2007-JENSEN",264,,,"2010-07-28",,1
"AFSC-GKINGCRABAIWS-1989-2007-JENSEN",265,,,"2010-07-28",,1
"NZMFishHOKIWG-HOKIWNZ-1972-2007-FRANCIS",359,"2009-06-03",,"2011-06-10","benevolent dictator QAQC",1
"NZMFishHOKIWG-HOKIENZ-1972-2007-FRANCIS",360,"2009-06-03",,"2011-06-10","benevolent dictator QAQC",1
"NZMFishDEEPWATER-SMOOTHOREOWECR-1973-2004-JENSEN",221,"2009-03-21",,"2011-06-10","benevolent dictator QAQC",1
"NZMFishINSHOREWG-NZSNAPNZ8-1931-2005-JENSEN",193,"2009-03-24",,"2011-06-10","benevolent dictator QAQC",1
"NZMFishMIDDEPTHSWG-SBWHITACIR-1979-2006-JENSEN",190,"2009-03-21",,"2011-06-10","benevolent dictator QAQC",1
"NZMFishINSHOREWG-TREVALLYTRE7-1944-2005-JENSEN",189,"2009-03-21",,"2011-06-10","benevolent dictator QAQC",1
"NZMFishMIDDEPTHSWG-GEMFISHNZ-1952-2007-JENSEN",182,"2009-03-21",,"2011-06-10","benevolent dictator QAQC",1
"NZMFishMIDDEPTHSWG-SOUTHHAKESA-1975-2007-JENSEN",181,"2009-03-21",,"2011-06-10","benevolent dictator QAQC",1
"NZMFishMIDDEPTHSWG-SOUTHHAKECR-1975-2006-JENSEN",180,"2009-03-21",,"2011-06-10","benevolent dictator QAQC",1
