stockid,tsn,scientificname,commonname,areaid,stocklong,inMYERSDB,MYERSstockid
"PLAICNS",172902,"Pleuronectes platessa","European Plaice","multinational-ICES-IV","European Plaice North Sea",1,"PLAICNS"
"PLAICIS",172902,"Pleuronectes platessa","European Plaice","multinational-ICES-VIIa","European Plaice Irish Sea",1,"PLAICIS"
"PLAICCELT",172902,"Pleuronectes platessa","European Plaice","multinational-ICES-VIIe-k","European Plaice ICES VIIe-k",0,NULL
"PLAICECHW",172902,"Pleuronectes platessa","European Plaice","multinational-ICES-VIIe","European Plaice ICES VIIe",0,NULL
"SOLENS",173001,"Solea vulgaris","common European sole","multinational-ICES-IV","common European sole North Sea",1,"SOLENS"
"SOLEVIId",173001,"Solea vulgaris","common European sole","multinational-ICES-VIId","common European sole ICES VIId",1,"SOLEVIId"
"SOLEIS",173001,"Solea vulgaris","common European sole","multinational-ICES-VIIa","common European sole Irish Sea",1,"SOLEIS"
"SOLEIIIa",173001,"Solea vulgaris","common European sole","multinational-ICES-IIIa","common European sole ICES Kattegat and Skagerrak",1,"SOLEIIIa"
"SOLEVIIe",173001,"Solea vulgaris","common European sole","multinational-ICES-VIIe","common European sole Western English Channel",1,"SOLEVIIe"
"SOLECS",173001,"Solea vulgaris","common European sole","multinational-ICES-VIIf-g","common European sole Celtic Sea",1,"SOLECS"
"SOLEVIII",173001,"Solea vulgaris","common European sole","multinational-ICES-VIII","common European sole Bay of Biscay",1,"SOLEVIII"
"WHITNS-VIId-IIIa",164758,"Merlangius merlangus","Whiting","multinational-ICES-IIIa-IV-VIId","Whiting ICES IIIa, VIId and North Sea",0,NULL
"WHITVIa",164758,"Merlangius merlangus","Whiting","multinational-ICES-VIa","Whiting ICES VIa",1,"WHITVIa"
"WHITVIIek",164758,"Merlangius merlangus","Whiting","multinational-ICES-VIIe-k","Whiting ICES VIIe-k",0,NULL
"SPRATNS",161789,"Sprattus sprattus","Sprat","multinational-ICES-IV","Sprat North Sea",0,NULL
"SPRAT22-32",161789,"Sprattus sprattus","Sprat","multinational-ICES-22-32","Sprat ICES Baltic Areas 22-32",1,"SPRAT22-32"
"GEMFISHSESSF",550883,"Rexea solandri","common gemfish","Australia-AFMA-SESSF","common gemfish Southeast Australia",0,NULL
"NZLINGESE",165000,"Genypterus blacodes","Ling","Australia-AFMA-SE","New Zealand ling Eastern half of Southeast Australia",0,NULL
"NZLINGWSE",165000,"Genypterus blacodes","Ling","Australia-AFMA-WSE","New Zealand ling Western half of Southeast Australia",0,NULL
"MORWONGSESSF",170262,"Nemadactylus macropterus","Jackass morwong","Australia-AFMA-SESSF","Jackass morwong Southeast Australia",0,NULL
"SILVERFISHSESSF",172534,"Seriolella punctata","Silverfish","Australia-AFMA-SESSF","Silverfish Southeast Australia",0,NULL
"TIGERFLATSESSF",644187,"Neoplatycephalus richardsoni","Tiger flathead","Australia-AFMA-SESSF","Tiger flathead Southeast Australia",0,NULL
"SWHITSESSF",646043,"Sillago flindersi","School whiting","Australia-AFMA-SESSF","School whiting Southeast Australia",0,NULL
"ALBANPAC",172419,"Thunnus alalunga","Albacore tuna","USA-NMFS-NPAC","Albacore tuna North Pacific",0,NULL
"ALBANATL",172419,"Thunnus alalunga","Albacore tuna","multinational-ICCAT-NATL","Albacore tuna North Atlantic",0,NULL
"ALBASPAC",172419,"Thunnus alalunga","Albacore tuna","multinational-WCPFC-SPAC","Albacore tuna South Pacific Ocean",1,"ALBASPAC"
"CROCKPCOAST",166734,"Sebastes pinniger","Canary rockfish","USA-NMFS-PCOAST","Canary rockfish Pacific Coast",0,NULL
"ESOLEPCOAST",172921,"Parophrys vetulus","English sole","USA-NMFS-PCOAST","English sole Pacific Coast",0,NULL
"ARFLOUNDPCOAST",616029,"Reinhardtius stomias","Arrowtooth flounder","USA-NMFS-PCOAST","Arrowtooth flounder Pacific Coast",0,NULL
"BLACKROCKNPCOAST",166727,"Sebastes melanops","Black rockfish","USA-NMFS-NPCOAST","Black rockfish Northern Pacific Coast",0,NULL
"BLUEROCKCAL",166730,"Sebastes mystinus","Blue rockfish","USA-NMFS-CAL","Blue rockfish California",0,NULL
"CHILISPCOAST",166722,"Sebastes goodei","Chilipepper","USA-NMFS-SPCOAST","Chilipepper Southern Pacific Coast",1,"CHILIPEPPER"
"COWCODSCAL",166754,"Sebastes levis","Cowcod","USA-NMFS-SCAL","Cowcod Southern California",0,NULL
"LNOSESKAPCOAST",160851,"Raja rhina","Longnose skate","USA-NMFS-PCOAST","Longnose skate Pacific Coast",0,NULL
"SABLEFPCOAST",167123,"Anoplopoma fimbria","Sablefish","USA-NMFS-PCOAST","Sablefish Pacific Coast",1,"SABLEFUSA"
"YEYEROCKPCOAST",166740,"Sebastes ruberrimus","Yelloweye rockfish","USA-NMFS-PCOAST","Yelloweye rockfish Pacific Coast",0,NULL
"DKROCKPCOAST",166715,"Sebastes crameri","Darkblotched rockfish","USA-NMFS-PCOAST","Darkblotched rockfish Pacific Coast",0,NULL
"BLACKROCKSPCOAST",166727,"Sebastes melanops","Black rockfish","USA-NMFS-SPCOAST","Black rockfish Southern Pacific Coast",0,NULL
"BOCACCSPCOAST",166733,"Sebastes paucispinis","Bocaccio","USA-NMFS-SPCOAST","Bocaccio Southern Pacific Coast",1,"BOCAEURCON"
"WROCKPCOAST",166719,"Sebastes entomelas","Widow rockfish","USA-NMFS-PCOAST","Widow rockfish Pacific Coast",0,NULL
"POPERCHPCOAST",166707,"Sebastes alutus","Pacific ocean perch","USA-NMFS-PCOAST","Pacific ocean perch Pacific Coast",1,"PERCHWUS"
"SBELLYROCKPCOAST",166725,"Sebastes jordani","Shortbelly rockfish","USA-NMFS-PCOAST","Shortbelly rockfish Pacific Coast",0,NULL
"PHAKEPCOAST",164792,"Merluccius productus","Pacific hake","USA-NMFS-PCOAST","Pacific hake Pacific Coast",1,"PHAKEVANCON"
"CODGB",164712,"Gadus morhua","Atlantic cod","USA-NMFS-GB","Atlantic cod Georges Bank",1,"COD5Z"
"HADGB",164744,"Melanogrammus aeglefinus","Haddock","USA-NMFS-GB","Haddock Georges Bank",1,"HAD5Z"
"YELLGB",172909,"Limanda ferruginea","Yellowtail flounder","USA-NMFS-GB","Yellowtail flounder Georges Bank",1,"YELL5Z"
"YELLCCODGOM",172909,"Limanda ferruginea","Yellowtail flounder","USA-NMFS-CCODGOM","Yellowtail flounder Cape Cod / Gulf of Maine",0,NULL
"CODGOM",164712,"Gadus morhua","Atlantic cod","USA-NMFS-GOM","Atlantic cod Gulf of Maine",0,NULL
"WITFLOUNNWATLC",172873,"Glyptocephalus cynoglossus","Witch flounder","USA-NMFS-NWATLC","Witch flounder Northwestern Atlantic Coast",0,NULL
